upc_code,upc_description,aisle
48981700723,"Betty Crocker Triple Berry Muffin Mix, 6.5 oz Box",baking mixes
55883816995,"Quaker Chewy Dipps Chocolatey Covered Granola Bars, Peanut Butter, 14 Bars",bars
95926363745,"Nature Valley Chewy Granola Bars, Protein Variety Pack, Gluten Free, 21.3 oz, 15 ct",bars
41257845356,"Gatorade Whey Protein Bars, Cookies & Crème, 2.8 oz bars (Pack of 12, 20g of protein per bar)",bars
55396918426,"Larabar Banana Bread, Gluten Free Vegan Fruit & Nut Bar, 1.6 oz Bars, 16 Ct",bars
14509613435,"Annie's Organic Original Crispy Snack Bars, Gluten Free, 3.9 oz, 5 ct",bars
44683267639,"Vega 20g Protein Bar High- Plant Based, Vegetarian, Chocolate Peanut Butter, 2.5 Ounce (Pack of 12)",bars
57606761615,"Kind Healthy Grains Bars, Dark Chocolate Chunk, 1.2 Ounce, 5 Count",bars
19940204467,"Amazon Brand - Happy Belly Chewy Chocolate Chip Granola Bars, 18 Count",bars
83820968656,"Nature Valley Granola Cups, Almond Butter, 12.4 oz, 20 ct",bars
45227308601,"EPIC Bison Bacon Cranberry Bars, Grass-Fed, Paleo Friendly, 1.3 oz Bars, 12 ct",bars
23068430610,"Rice Krispies Treats Marshmallow Snack Bars, Kids Snacks, School Lunch, Value Pack, Original, 12.4oz Box (16 Bars)",bars
57335558893,"Vega Protein Snack Bar, Chocolate Peanut Butter - Vegan Protein Bars, Plant Based, Vegetarian, Dairy Free, Gluten Free, Soy Free, Non GMO (12 Count)",bars
79099562080,"Larabar Apple Pie, Gluten Free Vegan Fruit & Nut Bar, 1.6 oz Bars, 12 Ct",bars
93995325291,"Atkins Protein Meal Bar, Chocolate Peanut Butter, Keto Friendly, 5 Count",bars
30361225412,"Annie's Organic Cocoa Crispy Snack Bars, Gluten Free , 3.9 oz, 5 ct",bars
58172072764,"KIND Healthy Grains Bars, Oats & Honey with Toasted Coconut, Non GMO, Gluten Free, 5 Count per pack, 6.2 Ounce",bars
77852193212,"Vega Sport Vegan Protein Bar, Crispy Mint Chocolate, Post Workout Protein Energy Bars - Plant Based, Vegan, BCAAs, Vegetarian, Dairy Free, Gluten Free, Non GMO (12 Count)",bars
25837932749,"Fiber 1 Oats and Chocolate Bar Value Pack, 14.1 oz, 10 ct",bars
31745117279,"Kellogg's Nutri-Grain, Soft Baked Breakfast Bars, Strawberry, Made with Whole Grain, Value Pack, 20.8 oz (16 Count)",bars
23942220278,"Atkins Snack Bar, Caramel Chocolate Nut Roll, Keto Friendly, 1.55 Ounce, 5 count",bars
52227402605,"Quaker Big Chewy Chocolate Chip Granola Bar, Peanut Butter, 1.48oz 5 Count, 7.4oz",bars
70832857652,"Fiber One Protein Bar, Caramel Nut Chewy Bars, 5 Fiber Bars, 5.85 oz",bars
23324098105,Atkins Chocolate Peanut Butter Pretzel Protein Meal Bar. Sweet and Salty. Keto-Friendly. (5 Bars),bars
17283966432,"KIND Breakfast Bar, Peanut Butter, 1.8oz 4 Count, 7.1oz, 19913",bars
28781349420,Dave’s Killer Bread Organic 21 Whole Grains and Seeds Bread - 27 oz Loaf,bread
89469831243,"Mission Soft Taco Flour Tortillas, Trans Fat Free, Authentic, Medium Size, 10 Count",bread
41461632366,"Daves Killer Bread, Bread 21 Whole Grains Thin Sliced Organic, 20.5 Ounce",bread
67300334945,"Old El Paso Flour Tortillas, 8 ct, 11 oz",bread
96169037393,Natures Own Honey Wheat Bread Sliced Loaf - 20 oz Bag,bread
12673368094,Dave’s Killer Bread Organic White Bread Done Right - 24 oz Loaf,bread
45054597970,"Ball Park Hot Dog Buns, 8 count, 14oz",bread
76383130913,"Mission Carb Balance Spinach Herb Tortilla Wraps, Low Carb, Keto, High Fiber, No Sugar, 8 Count",bread
45622563457,Nature's Own 100% Whole Wheat Bread Loaf - 20 oz Bag,bread
73539071815,"Mission Burrito Flour Tortillas, Trans Fat Free, Authentic, Large Size, 8 Count",bread
92574214100,"Guerrero White Corn Tortillas, Gluten Free, Trans Fat Free, Small Soft Taco Size, 30 Count",bread
45452276072,Dave's Killer Bread Good Seed Organic Bread - 27 oz Loaf,bread
73218143879,"Ball Park Classic Burger Buns, 8 count, 15 oz",bread
46937668495,Natures Own Butterbread Loaf - 20 oz Bag,bread
78985491248,"Nature's Own Sugar Free 100% Whole Wheat 100% Whole Grain Bread, 16 oz",bread
17340789666,"Sara Lee Original Artesano Bakery Bread, Thick Slices & Soft Texture, 20 oz",bread
34900285242,Wonder Classic White Bread Loaf - 20 oz Bag,bread
77714218982,"Rold Gold Pretzels, Classic Thins, 16 oz",bread
65788226231,"La Brea, Bread French Baguette Take And Bake, 12 Ounce",bread
16634243639,"Arnold Country Potato Sandwich Buns, 8 Buns, 16 oz",bread
17243914727,"Mission Carb Balance Soft Taco Flour Tortillas, Low Carb, Keto, High Fiber, No Sugar, 8 Count",bread
16675823171,Dave's Killer Bread Good Seed Thin Sliced Organic Bread - 20.5 oz Loaf,bread
65831242091,"Stroehmann Dutch Country 100% Whole Wheat Bread, 24 oz",bread
54478569154,"365 by WFM, Naan Tandoori Original, 12 Ounce",bread
64660325165,"Himalayan Pink Salt Grass-Fed Ghee Butter by 4th & Heart, 9 Ounce, Keto, Pasture Raised, Non-GMO, Lactose Free, Certified Paleo",butter
34158876325,"4th & Heart Original Grass-Fed Ghee Butter, 9 Ounce, Keto, Pasture Raised, Non-GMO, Lactose Free, Certified Paleo",butter
46502293069,"Carrington Farms USDA Certified Organic Grass Fed Ghee, 12oz., Compare Our Cost Per Ounce",butter
69164508401,"Kerrygold Pure Irish Butter, Salted, 8 oz",butter
62595756834,"Kerrygold Pure Irish Butter, Unsalted, 8 oz",butter
21365310052,"Land O Lakes, Butter Salted 1 lb, Buttery, 16 Ounce",butter
73068806034,"Land O Lakes SPREADABLE BUTTER, 8 oz",butter
79648831060,"Kerrygold Naturally Softer Pure Irish Butter, 8 oz",butter
29614687590,"Organic Valley Purity Farms Ghee, Caramel, 7.5 Oz",butter
82286324341,"Earth Balance Mindful Dressing & Sandwich Spread, Made With Olive Oil, 16 oz.",butter
32346351450,"Earth Balance Original Buttery Spread, 15 oz.",butter
67022594251,"Land O Lakes with Olive Oil and Sea Salt, Butter 13 Ounce",butter
74990305641,"Land O Lakes Half Stick Salted, Buttery, 16 Ounce",butter
16704851816,"Country Crock, Buttery Spread, Original, 15 oz",butter
37342003140,"Organic Valley Salted Organic Butter, 1 lb",butter
77746224708,"Land O Lakes Half Stick Unsalted Butter, 1 lb",butter
98533505967,"I Can't Believe It's Not Butter!, Buttery Spread, Original, 15 oz",butter
79250745257,"Land O Lakes Salted Whipped Butter, 8 oz Tub",butter
39543393165,"Land O Lakes Unsalted Butter, 1 lb.",butter
47718396610,"Land O Lakes Spreadable Butter with Canola Oil, Salted 24 Ounce",butter
63168898604,"Vital Farms Pasture-Raised Butter Sticks, Sea Salted, 8 oz, 2 x ¼ lb sticks",butter
66295653128,"Land O Lakes Half Stick Salted, Buttery, 8 Ounce",butter
87940838654,"I Can't Believe It's Not Butter!, Light Buttery Spread, 15 oz",butter
81508974099,"Kerrygold Butter Sticks, Unsalted, 8 oz",butter
32108002478,"Reese's Puffs Breakfast Cereal, Chocolate Peanut Butter with Whole Grain, 11.5oz",cereals
55477337625,"Kashi GO Breakfast Cereal, Vegan Protein, Fiber Cereal, Peanut Butter Crunch, 13.2oz Box (1 Box)",cereals
10798570679,"Nature Valley Soft-Baked Oatmeal Squares Cinnamon Brown Sugar, 6 ct, 7.44 oz",cereals
15724607400,"Amazon Brand - Happy Belly Old Fashioned Oats, 18 Ounce",cereals
90898438230,"Cascadian Farm Organic Cinnamon Crunch Cereal, Whole Grain Cereal, 9.2 oz",cereals
83445167149,"Nature Valley Oats & Honey Big & Crunchy Granola Breakfast Cereal, 16 oz.",cereals
86259121203,"Nature's Path Organic Gluten Free Granola, Honey Almond, 11 Oz Pouch",cereals
25911283940,"Love Crunch Organic Granola, Dark Chocolate Macaroon, 11.5 Oz, Non GMO, Fairtrade, by Nature's Path",cereals
25840759532,"KIND Healthy Grains Clusters, Dark Chocolate Granola, 10g Protein, Gluten Free, Non GMO, 11 Ounce (Pack of 1)",cereals
64774726281,"KIND Healthy Grains Clusters, Cinnamon Oat Clusters with Flax Seeds, Gluten Free, Non GMO, 11 Ounce Bag",cereals
67949795212,"Nature's Path Organic Granola Cereal, Chia Plus Coconut Chia, 12.34 Oz",cereals
60752107134,"Amazon Brand - Happy Belly Raisin Bran Cereal, 18.7 Ounce",cereals
33847514966,"Amazon Brand - Happy Belly Cinnamon Crunch Cereal, 12.2 Ounce",cereals
82246689252,"Amazon Brand - Happy Belly Strawberry Good Balance, Berry Flake Cereal, 11.2 Ounce",cereals
67226421613,"Amazon Brand - Instant Oatmeal, Maple and Brown Sugar, Pack of 20",cereals
33986409144,"Lucky Charms, Marshmallow Breakfast Cereal with Unicorns, Gluten Free, 14.9 oz",cereals
60017593272,"Quaker, Oatmeal Squares, Honey Nut, 14.5 Oz",cereals
86193594642,"Amazon Brand - Happy Belly Steel Cut Oats, 25 Ounce",cereals
82662680634,"Amazon Brand - Happy Belly Frosted Shredded Wheat Cereal, 18 Ounce",cereals
53266711924,"Udi's Gluten Free Almond Butter Granola, 11 oz.",cereals
77759926964,"Amazon Brand - Happy Belly Quick Cook Oats, 18 Ounce",cereals
60981974519,"Amazon Brand - Happy Belly Rice Biscuits Cereal, 12 Ounce",cereals
52723789798,"Amazon Brand - Happy Belly Magic Stars with Marshmallows Cereal, 11.5 Ounce",cereals
35541551836,"Amazon Brand - Happy Belly Corn Flakes, 18 Ounce",cereals
48937625463,"Cello Whisps Pure Parmesan Cheese Crisps, 2.12 Oz",cheese
98021521020,Kraft Parmesan Grated Cheese (8 oz Shaker),cheese
97712796775,Savannah Bee Company Raw Organic Acacia Honeycomb Mini 5.6 Ounce,cheese
57746884761,Velveeta Original Cheese Loaf (8 oz Block),cheese
51805025541,"Sargento Sliced Medium Natural Cheddar Cheese, 11 slices",cheese
26806544459,"Sargento Shredded Sharp Natural Cheddar Cheese, 8 oz.",cheese
28493072883,"Amazon Brand - Happy Belly Shredded Mexican Four Cheese Blend, 8 Ounce",cheese
98062553511,"Horizon Organic String Cheese, Mozzarella, 6 Ounce, Individually Packaged Mozzarella String Cheese with Protein and Calcium, Great for Snacks for Kids or Grown-Ups",cheese
48084036098,"365 by WFM, Feta Crumbles, 6 Ounce",cheese
86177251028,"Sargento Natural String Cheese Snacks, 12-Count",cheese
94090927249,"365 by WFM, Cheese String Mozzarella Organic 6 Count, 6 Ounce",cheese
56430918828,Kraft 100% Grated Parmesan & Romano Cheese Shaker (8 oz Bottle),cheese
16519241933,"Sargento, Provolone Natural Cheese Slices, 8 oz",cheese
87979072977,"Sargento Shredded Mozzarella Natural Cheese, Traditional Cut, 8 oz.",cheese
68409557673,"Amazon Brand - Happy Belly Shredded Mozzarella Cheese, Low Moisture Part-Skim Milk, 8 Ounce",cheese
62855464371,"Babybel Cheese Mini, Original, 6 Count, 4.48 Oz",cheese
21106699152,"Frigo Cheese Heads, Regular String Cheese, 36 Count",cheese
44166536363,"Sargento Sliced Sharp Natural Cheddar Cheese, 11 slices",cheese
49814234741,"Sargento Balanced Breaks with Natural Sharp Cheddar Cheese with Cashews and Cherry Juice- Infused Dried Cranberries, 1.5 oz., 3-Pack",cheese
34290623463,Kraft Shredded Mexican Style 4 Cheese Blend (16 oz Bag),cheese
15851318035,Organic Valley 3 Cheese Organic Finely Shredded Mexican Cheese Blend,cheese
95004363616,"365 by WFM, Cheddar Sharp Bar, 8 Ounce",cheese
94906962523,"365 by WFM, Mozzarella Shred, 16 Ounce",cheese
69400146409,"Velveeta Queso Blanco Loaf, 32-Ounce",cheese
98055069732,"ALMOND JOY and MOUNDS Miniatures Assorted Chocolate and Coconut Candy, Bulk Candy, 32.1 oz Bag (63 Pieces)",chocolate candy
48668732150,M&M'S Milk Chocolate MINIS Candy 3-lb. Bulk Candy Bag,chocolate candy
23009185356,"Reese's, Candy, Milk Chocolate Peanut Butter Cup Miniatures Party Bag, 35.6 oz",chocolate candy
37616754639,"SNICKERS, TWIX, 3 MUSKETEERS & MILKY WAY Full Size Chocolate Candy Bars Variety Mix, 33.31-Ounce 18-Count Box",chocolate candy
48020515969,"HEALTH WARRIOR Chia Bars, Acai Berry, Gluten Free, Vegan",chocolate candy
27618334078,"HERSHEY'S KISSES SPECIAL DARK Mildly Sweet Dark Chocolate Candy, Easter, 32.1 oz Party Bag",chocolate candy
78626198657,"365 by WFM, Cups Chocolate Dark Almond Butter Mini, 4.7 Ounce",chocolate candy
33536527926,Snickers Minis Size Chocolate Candy Bars 40-Ounce Bag,chocolate candy
94718351769,"Dove Promises Dark Chocolate Candy Bag, 15.8 Oz",chocolate candy
52360091013,"HERSHEY'S Milk Chocolate Bars, 9.3 Ounce",chocolate candy
88520315952,"HERSHEY'S Zero Sugar SPECIAL DARK Chocolate Sugar Free Candy, , 5.1 Oz.",chocolate candy
28218877070,"York Thins Dark Chocolate Peppermint Pattie Candy, 7.2 Oz",chocolate candy
64309834517,"Brach's Classic Candy Corn, 11 oz bag",chocolate candy
63739361306,"Jolly Rancher Gummies Fruit Flavored Candy, 28.8 Oz",chocolate candy
33924632870,"HERSHEY'S Halloween Chocolate Shapes Variety Mix (YORK Pumpkin, HERSHEY'S Cookies 'n' Creme Fangs, HERSHEY'S Tombstones, REESE'S Pumpkins, & REESE'S White Chocolate Ghosts) 85 pc. 43.8 oz.",chocolate candy
88282923515,"GODIVA Chocolatier Lady Godiva Biscuits, Dark Chocolate, 3.5 Ounce",chocolate candy
32664840359,"M&M'S Fudge Brownie Sharing Size Chocolate Candy, 9.05 Oz. Stand Up Bag",chocolate candy
49409260810,"Dove Promises Peanut Butter and Dark Chocolate Candy Bag, 7.61 Oz",chocolate candy
89076292304,"HERSHEY'S SPECIAL DARK KISSES, Dark Chocolate Candy, 10 oz Bag",chocolate candy
50554708961,"ROLO Chocolate Caramel Candy, 35.6 oz Bulk Bag",chocolate candy
41555799531,"HERSHEY'S KISSES Milk Chocolate Candy, Individually Wrapped, 10.8 oz Share Bag",chocolate candy
39585564564,"DOVE PROMISES Dark Chocolate Candy Bag, 8.46 oz",chocolate candy
42725771577,"Dove Promises Sea Salt and Caramel Dark Chocolate Candy Bag, 7.61 Oz",chocolate candy
59587201070,"HERSHEY'S SPECIAL DARK Chocolate Bars, Mildly Sweet Dark Chocolate, Sugar Free, 3 Ounce",chocolate candy
56695801822,"Amazon Brand - Happy Belly Powdered Non-dairy French Vanilla Coffee Creamer, 15 Ounce",dairy alternatives
89469664340,"Amazon Brand - Happy Belly Powdered Non-dairy Original Coffee Creamer, 16 Ounce",dairy alternatives
67599716477,"Amazon Brand - Happy Belly Powdered Non-dairy French Vanilla Coffee Creamer (Sugar-Free), 10.2 Ounce",dairy alternatives
57381817786,"Thai Kitchen Gluten Free Unsweetened Coconut Cream, 13.66 fl oz",dairy alternatives
48520181818,"Coffee Mate The Original Powder Coffee Creamer, 35.3 oz",dairy alternatives
90524339648,"Califia Farms - Oat Milk, Original Barista Blend, 32 Oz | Dairy Free | Creamer | Vegan | Plant Based | Gluten-Free | Non-GMO | Shelf Stable",dairy alternatives
94074461021,"Amazon Brand - Happy Belly Powdered Non-dairy Original Coffee Creamer (Fat-Free), 16 Ounce",dairy alternatives
61822344004,"Pacific Foods, Almond Beverage, Unsweetened, Low Fat, Organic, 32 oz",dairy alternatives
56581294880,"Almond Breeze Blue Diamond, Almond milk, Lactose free, Vanila, 64 Oz",dairy alternatives
77356634082,"Coffee Mate French Vanilla, Sugar-Free Powdered Coffee Creamer, 10.2 oz",dairy alternatives
95523420622,"Almond Breeze Blue Diamond, Almond milk, Original, 64 Fl Oz",dairy alternatives
93780251167,"Dream Blends Rice Drink, Enriched Vanilla, 32 oz",dairy alternatives
90324217471,Coffee Mate Hazelnut Liquid Coffee Creamer 16 fl oz,dairy alternatives
53389454961,"Califia Farms Almond Milk, Non Dairy, Sugar Free, Keto Friendly, Whole 30, Vegan, Plant Based, Nut Milk, Non-GMO, Unsweetened, 48 Ounce, (Pack of 1)",dairy alternatives
44800324698,"Califia Farms - Unsweetened Better Half Coffee Creamer, 32 Oz | Half and Half | Coconut Cream and Almond Milk | Dairy Free | Whole30 | Plant Based | Keto | Sugar Free | Shelf Stable",dairy alternatives
44371487319,"COFFEE MATE Caramel Latte Powder Coffee Creamer 15 oz. Canister Non-dairy, Lactose Free Creamer",dairy alternatives
87334603680,"Califia Farms - Almond Milk, Unsweetened Barista Blend, 32 Oz | Dairy Free | Soy Free | Gluten Free | Whole30 | Keto | Vegan | Plant Based | Nut Milk | Non-GMO | Shelf Stable",dairy alternatives
86348272313,"Coffee Mate Original Creamer, Fat-Free, 16 oz",dairy alternatives
25559743488,"Califia Farms - Hemp Milk, Barista Blend, 32 Oz | Dairy Free | Creamer | Vegan | Plant Based | Gluten-Free | Non-GMO | Shelf Stable",dairy alternatives
84196820463,"Califia Farms Almond Milk, Non Dairy, Plant Based, Nut Milk, Vegan, Non-GMO, Toasted Coconut, 48 Fl Oz, (Pack of 1)",dairy alternatives
51354066697,"White Wave Foods Silk Almond Milk Dark Chocolate, 64 oz",dairy alternatives
69645885481,"Almond Breeze Dairy Free Almondmilk, Vanilla, 32 FL OZ",dairy alternatives
18504387454,Almond Breeze Original Almondmilk,dairy alternatives
32912033108,"Silk Organic Soy Milk, Unsweetened, 64 fl oz",dairy alternatives
47323910118,"Fiber One Brownies, 90 Calorie Bar, Chocolate Chip Cookie, 6 Fiber Bars, 5.34 oz",desserts
32024048439,"Fiber One Brownies, 90 Calorie Bar, Chocolate Fudge Brownie, 12 Fiber Bars, 10.6 oz (Value Pack)",desserts
52927839082,"Little Debbie Honey Buns, 10.6 Oz",desserts
61175824092,"Petit Pot Dark Chocolate Pot De Creme, 3.5 oz",desserts
19938940097,"Petit Pot Salted Pot De Creme, Caramel, 3.5 oz",desserts
69326848295,"Just Desserts Red Velvet Cupcake, 4.4 oz",desserts
61867961168,"Better Bites, Lil Mostess Chocolate Cupcakes 6 Count, 6 Ounce",desserts
82866435165,"Fresh Brand – Chocolate Chip Brownie, 12 oz (4 ct)",desserts
25315523125,"Table Talk 4"" Blueberry Pie, Sugar Free, 4 oz",desserts
50756378774,"Baked Cravings Deluxe Confetti Cupcake In A Jar, 5.1 Oz",desserts
81795460329,"Baked Cravings Vanilla Cupcake In A Jar, 5.1 Oz",desserts
78439607048,"Baked Cravings Chocolate Cupcake In A Jar, 5.1 Oz",desserts
34732872459,"Baked Cravings Lemon Cupcake In A Jar, 5.1 Oz",desserts
26474226814,"Fresh Brand – Apple Pie, 26 oz (Frozen)",desserts
66586943617,"Fresh Brand – Chocolate Cream Pie, 29 oz (Frozen)",desserts
20374524050,"Fresh Brand – Berry Pie, 26 oz (Frozen)",desserts
28015455467,"Fresh Brand – Cherry Pie, 26 oz (Frozen)",desserts
66856187682,"Pillsbury Heat and Eat Cinnamon Roll, 4 ct 10.8oz",desserts
44323792042,"Pillsbury Cornbread Swirls, 6 count, 11 oz",desserts
35616167514,"Fresh Brand – Patriotic Chocolate Mini Cupcakes, 10 oz (12 ct) (Seasonal)",desserts
74275872828,"Fresh Brand – Patriotic Vanilla Mini Cupcakes, 10 oz (12 ct) (Seasonal)",desserts
27483728857,COLLIDERS Twisted KIT KAT Refrigerated Dessert (2 ct Pack),desserts
93716919651,COLLIDERS Twisted HEATH Refrigerated Dessert (2 ct Pack),desserts
19176969262,COLLIDERS Chopped HERSHEY’S Mint Refrigerated Dessert (2 ct Pack),desserts
38338913106,"Ocean Spray Craisins Dried Cranberries, Reduced Sugar, 20 Ounce",dried fruit
37755442746,"Navitas Organics Superfood Power Snacks, Cacao Goji, 8 oz. Bag, 11 Servings — Organic, Non-GMO, Gluten-Free",dried fruit
76281753404,"Dang Toasted Coconut Chips | Original | 1 Pack | Vegan, Gluten Free, Non GMO, Healthy Snacks Made with Whole Foods | 3.17 Oz Resealable Bag",dried fruit
10128960084,"Ocean Spray, Craisins Dried Cranberries, Original, 12 Ounce Resealable Bag",dried fruit
68570276940,NATIERRA Nature's All Foods Organic Freeze-Dried Mangoes | Non-GMO & Vegan| 1.5 Ounce,dried fruit
30947168743,"Dole California Seedless Raisins, Dried Fruit, Healthy Snack, 12 Oz",dried fruit
43509830228,"Ocean Spray Craisins Original Dried Cranberries, 24 Ounce Value Pack",dried fruit
15682068919,"Sunsweet Amazin' Pitted Dried Prunes, 8 oz",dried fruit
22398053712,"Made in Nature Organic Dried Fruit, Mangoes, 3oz Bag – Non-GMO, Unsulfured Vegan Snack",dried fruit
14540311694,"Sunsweet Premium Mango, 5 Ounce",dried fruit
40438973140,"Newman's Own Organic Prunes, 6 Oz",dried fruit
44323196306,"365 by WFM, Dates Pitted, 8 Ounce",dried fruit
15774300165,"365 by WFM, Cranberries Dried Sweetened Organic, 8 Ounce",dried fruit
36203178082,"Craisins Reduced Sugar Dried Cranberries, 5 oz",dried fruit
20167901089,"Peeled Snacks, Organic, Much Ado About Mango, 2.8 Oz",dried fruit
65835378447,"SUNSWEET Amazin Pitted Prunes, 16 oz",dried fruit
32081016768,"365 by WFM, Fruit Freeze Dried Mango Slices, 1.2 Ounce",dried fruit
14035967338,"Made In Nature Organic Dried Apricots, 6 Oz",dried fruit
55334594305,"Sun-Maid Yogurt Raisins, Vanilla, 3.05 lb",dried fruit
72493373782,"Ocean Spray Craisins Dried Cranberries, 6 Ounce Resealable Bag",dried fruit
82909764403,"Made In Nature Organic Plums, 6 Oz",dried fruit
74323534289,"Mezzetta Sun-Ripened Dried Tomatoes In Olive Oil, Julienne Cut, 8 Ounce",dried fruit
25614676276,"Newman's Own Organic Raisins, 15 Oz",dried fruit
16417582004,"Ocean Spray Craisins Dried Cranberries Infused with Pomegranate Juice, 6 Ounce Resealable Bag",dried fruit
76315005687,"Organic Valley Large Brown Free Range Eggs, Original 12 Count",eggs
95358149526,"Bob's Red Mill, Egg Substitute, 12 oz",eggs
24153476171,"365 Everyday Value, Cage-Free Non-GMO Large Brown Grade A Eggs, 12 ct",eggs
36494466063,"Vital Farms 1 Dozen Pasture-Raised Eggs, Large, Brown, Grade A Certified Humane, 12 Ct",eggs
22642310046,"365 Everyday Value, Organic Large Omega-3 Brown Grade A Eggs, 12 CT",eggs
83391094476,"Amazon Brand - Happy Belly Cage-Free, Large, White Eggs, 1 Dozen",eggs
38155083072,"Organic Valley Large Brown Free Range Organic Eggs, Half Dozen, 6 Count",eggs
76658234973,"Organic Valley, Organic Free-Range Medium Brown Eggs - 18 ct",eggs
13630365331,"Vital Farms 18 Pasture-Raised Eggs, Large, Brown, Grade A, Certified Humane, 1.5 Dozen",eggs
49878238763,"365 by WFM, Eggs Liquid Egg Whites Organic, 16 Ounce",eggs
17541761425,"Pete & Gerry's, Eggs Omega 3 Organic, 12 Count",eggs
64771918747,"365 Everyday Value, Organic Large Brown Grade A Eggs, 12 ct",eggs
74757398002,"Nellie's Free Range Large Eggs, 12 ct",eggs
79910489413,"365 Everyday Value, Cage-Free Non-GMO Extra Large Brown Grade A Eggs, 12 ct",eggs
65943790205,"Amazon Brand - Happy Belly Cage-Free, Large, Brown Eggs, 1 Dozen",eggs
70126572001,"Organic Valley Liquid Organic Egg Whites, 16 oz",eggs
99248601553,"Jimmy Dean Simple Scrambles Bacon, 5.35 oz.",eggs
14049995635,"365 by WFM, Eggs Hard Cooked Medium Grade A, 6 Count",eggs
34159490112,Nellie's Free Range Eggs Extra Large- 12ct,eggs
50297757138,"Pete & Gerry's , Organic Cage-Free Omega-3 Large Grade A Brown, 1 dozen, egg, 12 Count",eggs
96376378778,"Jimmy Dean Simple Scrambles Meat Lovers, 5.35 oz.",eggs
75378596809,"Just Crack an Egg Rustic Scramble Breakfast Bowl Kit with Turkey Sausage, Mozzarella Cheese, Potatoes, Mushrooms, Onions and Red Peppers, 3 oz. Cup",eggs
57307940903,Pete and Gerry's Organic Liquid Egg Whites- 16oz,eggs
93538607854,Nellie's Free Range Eggs Large- 6ct,eggs
91721772277,"Strawberries, 1 lb",fruit
80105187075,Lemon,fruit
46365901307,Lime,fruit
94368536591,"Organic Strawberries, 1 lb",fruit
79404644563,"Organic Blueberries, 6 oz",fruit
13429631610,Large Hass Avocado,fruit
44258316860,Small Hass Avocado,fruit
96165588989,"Red Raspberries, 6 oz",fruit
73456003079,"Blackberries, 6 oz",fruit
69110795444,"Blueberries, 6 oz",fruit
44134382768,Large Organic Hass Avocado,fruit
78985501471,Honeycrisp Apples,fruit
43169534520,"Organic Red Raspberries, 6 oz",fruit
22374075100,Navel Orange,fruit
43345897254,Cantaloupe Melon,fruit
96059902586,"Blueberries, 1 Pint",fruit
14404237262,Organic Lemon,fruit
67703551996,Red Mango,fruit
92564980714,Organic Fuji Apples,fruit
35652824971,Gala Apples,fruit
22617531971,Mini Seedless Watermelon,fruit
32746476696,"Organic Red Seedless Grapes, 2 lb",fruit
41882642038,Gold Pineapple,fruit
82657301871,Fuji Apple,fruit
60584568912,"Breyers Original Ice Cream for a Delicious Dessert Natural Vanilla Made with 100% Grade A Milk & Cream, Sustainably-Farmed Vanilla 48 oz",ice cream
75993257898,Breyers Ice Cream for a Delicious Dessert Chocolate Ice Cream Made with Real Dutch Cocoa 48 oz,ice cream
91445273218,"Ben & Jerry's Tonight Dough Ice Cream, 1 pt, 16 fl oz (Frozen)",ice cream
