ec_code,ec_description
25210110,"Frankfurter or hot dog, NFS"
25210750,"Frankfurter or hot dog, reduced fat or light, NFS"
25210410,"Frankfurter or hot dog, turkey"
92510720,"Fruit punch, made with fruit juice and soda"
75111500,"Garlic, raw"
99997545,"Green beans, cooked, as ingredient"
99997520,"Green pepper, cooked, as ingredient"
21500100,"Ground beef, cooked"
21500000,"Ground beef, raw"
91716010,"Halvah, plain"
25240220,Ham salad spread
91302010,Honey
99998210,Industrial oil as ingredient in food
72119190,"Kale, raw"
75112000,"Kohlrabi, raw"
81202000,Lard
58145112,"Macaroni or noodles with cheese, made from packaged mix"
81102000,"Margarine, NFS"
11100000,"Milk, NFS"
75114000,"Mixed salad greens, raw"
43107000,Mixed seeds
91303000,Molasses
51303050,"Muffin, English, wheat or cracked wheat, with raisins"
99997515,"Mushrooms, cooked, as ingredient"
75115000,"Mushrooms, raw"
72122100,"Mustard greens, raw"
11300100,"Non-dairy milk, NFS"
81200100,"Oil or table fat, NFS"
75510030,"Olives, stuffed"
99997510,"Onions, cooked, as ingredient"
75117020,"Onions, raw"
61210000,"Orange juice, 100%, NFS"
99997804,Other vegetables as ingredient in omelet
63135140,"Peach, canned, in syrup"
63137140,"Pear, canned, in syrup"
63141140,"Pineapple, canned, in syrup"
22704010,"Pork, cracklings, cooked"
22000300,"Pork, NS as to cut, breaded or floured, fried, NS as to fat eaten"
71401033,"Potato, french fries, school"
71501016,"Potato, mashed, from restaurant"
91735000,Pralines
72124100,"Radicchio, raw"
12350230,"Ranch dip, regular"
99997525,"Red pepper, cooked, as ingredient"
56205000,"Rice, cooked, NFS"
99998130,Sauce as ingredient in hamburgers
58304010,"Spaghetti and meatballs dinner, NFS, frozen meal"
99997210,"Spinach, cooked, as ingredient"
72125100,"Spinach, raw"
91104100,"Sugar, cinnamon"
99997550,"Summer squash, cooked, as ingredient"
73405000,"Sweet potato, boiled, NS as to fat"
99997802,Tomatoes as ingredient in omelet
99997410,"Tomatoes, cooked, as ingredient"
58134680,"Tortellini, cheese-filled, no sauce"
24207000,"Turkey, ground"
75440600,Vegetable curry
99997810,Vegetables as ingredient in curry
72130100,"Watercress, raw"
63149010,"Watermelon, raw"
99995130,Wheat bread as ingredient in sandwiches
99995135,Wheat bun as ingredient in sandwiches
91715300,"100 GRAND Bar, $ 100,000 Bar"
91726420,3 MUSKETEERS Bar
91726425,3 Musketeers Truffle Crisp Bar
26301110,"Abalone, cooked, NS as to cooking method"
26301140,"Abalone, floured or breaded, fried"
26301160,"Abalone, steamed or poached"
58137300,"Adobo, with noodles, any combination of meat, poultry, seafood, and vegetables, Filipino dish"
58150530,"Adobo, with rice, any combination of meat, poultry, seafood, and vegetables, Filipino dish"
91302020,"Agave liquid sweetener, blue agave"
53420300,"Air filled fritter or fried puff, without syrup, Puerto Rican style, wheat flour turnover, Pastelillo de harina de trigo, Bunuelos de viento"
14006,"Alcoholic beverage, beer, light"
14248,"Alcoholic beverage, beer, light, higher alcohol"
14013,"Alcoholic beverage, beer, light, low carb"
14003,"Alcoholic beverage, beer, regular, all"
14034,"Alcoholic beverage, creme de menthe, 72 proof"
14037,"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof"
14050,"Alcoholic beverage, distilled, rum, 80 proof"
14415,"Alcoholic beverage, liqueur, coffee with cream, 34 proof"
14414,"Alcoholic beverage, liqueur, coffee, 53 proof"
14239,"Alcoholic beverage, malt beer, hard lemonade"
43479,"Alcoholic beverage, rice (sake)"
14057,"Alcoholic beverage, wine, dessert, sweet"
43155,"Alcoholic beverage, wine, light"
14084,"Alcoholic beverage, wine, table, all"
14096,"Alcoholic beverage, wine, table, red"
14106,"Alcoholic beverage, wine, table, white"
14251,"Alcoholic beverages, beer, higher alcohol"
14253,"Alcoholic beverages, wine, rose"
93106010,"Alcoholic malt beverage, higher alcohol, sweetened, Mike's Harder Lemonade"
93106100,"Alcoholic malt beverage, malt liquor, Colt 45, ""Forty"", ""Forty-ounce"", Champale flavored malt liquor, unsweetened"
93106000,"Alcoholic malt beverage, sweetened, Mike's Hard lemonade, all flavors, Hard Lemonade, Hard Punch, Hard Tea, Twisted Tea, Four Loko, Smirnoff Ice, NS as to sweetened"
93301010,Alexander
11001,"Alfalfa seeds, sprouted, raw"
75100500,"Alfalfa sprouts, raw"
42200510,"Almond butter, lower sodium, unsalted, reduced sodium, low sodium"
42200500,"Almond butter, NS as to type"
27445250,Almond chicken
11350000,"Almond milk, sweetened"
11350010,"Almond milk, sweetened, chocolate, NS as to sweetened, cashew"
11350000,"Almond milk, sweetened, vanilla flavored, NS as to sweetened, cashew"
11350030,"Almond milk, unsweetened, chocolate, Blue Diamond Almond Breeze, Silk PureAlmond, Almond Dream"
11350020,"Almond milk, unsweetened, unsweetened vanilla, flavors other than chocolate, cashew"
82101300,"Almond oil, apricot kernel"
42200600,"Almond paste, Marzipan paste"
91701010,"Almonds, chocolate covered"
42101300,"Almonds, flavored, all flavors other than honey roasted"
42101350,"Almonds, honey roasted"
42101120,"Almonds, lightly salted, plain, roasted, not coated"
42100100,"Almonds, NFS"
42101110,"Almonds, salted"
42101110,"Almonds, salted, NS as to salt, plain, roasted, not coated, sea salt"
91701020,"Almonds, sugar-coated, Jordan almonds"
42101000,"Almonds, unroasted, raw"
42101130,"Almonds, unsalted, plain, roasted, not coated"
91701030,"Almonds, yogurt-covered"
75200700,Aloe vera juice drink
63301010,Ambrosia
26101180,"Anchovy, canned"
26101110,"Anchovy, cooked, NS as to cooking method"
81201000,Animal fat or drippings
81201000,"Animal fat or drippings, bacon grease"
4609,"Animal fat, bacon grease"
51187020,"Anisette toast, almond toast, Stella D'oro"
27460510,"Antipasto with ham, fish, cheese, vegetables"
64101010,"Apple cider, cider, NFS, sparkling cider"
92550360,"Apple juice beverage, 40-50% juice, light, Tropicana Trop 50, Mott's Light, 50% reduced sugar apple juice beverage"
64104010,"Apple juice, 100%, Mott's, Musselman's, Simply Apple, Seneca, Apple and Eve, store brands"
64104030,"Apple juice, 100%, with calcium added, Minute Maid Apple Juice, Apple and Eve with calcium, Musselman's with calcium, Mott's Plus"
67202000,"Apple juice, baby food, Beech-Nut, Earth's Best, Gerber"
9400,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid"
9517,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium"
9016,"Apple juice, canned or bottled, unsweetened, without added ascorbic acid"
9017,"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid"
67202010,"Apple juice, with added calcium, baby food"
63101210,"Apple pie filling, pie filling, NFS, apples, canned"
63401010,"Apple salad with dressing, Waldorf salad, fruit and nut salad with apples, celery and walnuts"
67404070,"Apple yogurt dessert, baby food, strained, Beech-Nut Stage 2"
67203200,"Apple-banana juice, baby food, Beech-Nut, Earth's Best, Gerber"
67203400,"Apple-cherry juice, baby food, Beech-Nut, Gerber"
67203000,"Apple-fruit juice blend, baby food"
67203500,"Apple-grape juice, baby food, Beech-Nut, Earth's Best, Gerber"
67203600,"Apple-peach juice, baby food, Gerber"
67203700,"Apple-prune juice, baby food, Gerber"
67101020,"Apple-raspberry, baby food, junior, apple-blueberry, Gerber Third Foods"
67101000,"Apple-raspberry, baby food, NS as to strained or junior, apple-blueberry"
67101010,"Apple-raspberry, baby food, strained, apple-blueberry, Earth's Best, Beech-Nut Stage 2, Gerber Second Foods"
67230000,"Apple-sweet potato juice, baby food, Gerber"
63101310,"Apple, baked"
63101310,"Apple, baked, fried, cooked"
63401060,"Apple, candied, caramel apples"
62101100,"Apple, dried, apple chips"
63101000,"Apple, raw, apple, NFS"
67501000,"Apples and chicken, baby food, strained, Gerber Second Foods Simple Recipe, Beech-Nut Stage 2"
67113020,"Apples and pears, baby food, junior"
67113000,"Apples and pears, baby food, NS as to strained or junior"
67113010,"Apples and pears, baby food, strained, Beech-Nut Stage 2"
67600100,"Apples and sweet potatoes, baby food, strained, Gerber Tender Harvest"
67501100,"Apples with ham, baby food, strained, Gerber Second Foods Simple Recipe"
67100300,"Apples, baby food, toddler, Gerber Graduates Diced Apples"
9011,"Apples, dried, sulfured, uncooked"
9003,"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)"
9004,"Apples, raw, without skin"
67104020,"Applesauce and apricots, baby food, junior"
67104000,"Applesauce and apricots, baby food, NS as to strained or junior"
67104010,"Applesauce and apricots, baby food, strained, Beech-Nut Stage 2 Apples and Apricots, Earth's Best Apples and Apricots, Gerber Second Foods"
67104060,"Applesauce with bananas, baby food, junior, Beech-Nut Stage 3 Apples and Bananas"
67104030,"Applesauce with bananas, baby food, NS as to strained or junior"
67104040,"Applesauce with bananas, baby food, strained, Earth's Best Apples and Bananas, Beech-Nut Stage 2 Apples and Bananas"
67104080,"Applesauce with cherries, baby food, junior, Beech-Nut Stage 3 Apples and Cherries"
67104090,"Applesauce with cherries, baby food, NS as to strained or junior"
67104070,"Applesauce with cherries, baby food, strained, Beech-Nut Stage 2 Apples and Cherries"
67102020,"Applesauce, baby food, junior, Gerber Third Foods, Beech-Nut Stage 3"
67102000,"Applesauce, baby food, NS as to strained or junior"
67102010,"Applesauce, baby food, strained, Gerber Second Foods, Earth's Best Apples, Beech-Nut Stage 1 Starter Size, Beech-Nut Stage 1, Gerber First Foods"
9020,"Applesauce, canned, sweetened, without salt"
9019,"Applesauce, canned, unsweetened, without added ascorbic acid (Includes foods for USDA's Food Distribution Program)"
63101150,"Applesauce, flavored, with other fruits"
63101110,"Applesauce, regular, applesauce, NFS"
63101120,"Applesauce, unsweetened"
64201010,Apricot nectar
9036,"Apricot nectar, canned, with added ascorbic acid"
63103110,"Apricot, canned"
62104100,"Apricot, dried"
63103010,"Apricot, raw, apricot, NFS"
67307020,"Apricots, baby food, junior, Gerber Third Foods"
67307000,"Apricots, baby food, NS as to strained or junior"
67307010,"Apricots, baby food, strained, Gerber Second Foods"
9022,"Apricots, canned, water pack, with skin, solids and liquids"
9032,"Apricots, dried, sulfured, uncooked"
9021,"Apricots, raw"
52220110,"Arepa Dominicana, Cornmeal bread, Dominican style"
23340100,"Armadillo, cooked"
14620110,Artichoke dip
75201023,"Artichoke, canned, cooked, fat added, NS as to fat added, artichoke hearts"
75201013,"Artichoke, canned, cooked, no added fat, artichoke hearts, NFS, cooking spray"
75201021,"Artichoke, fresh, cooked, fat added, NS as to fat added, from restaurant"
75201011,"Artichoke, fresh, cooked, no added fat, cooking spray"
75201022,"Artichoke, frozen, cooked, fat added, NS as to fat added, artichoke hearts"
75201012,"Artichoke, frozen, cooked, no added fat, artichoke hearts, with or without fat"
75100750,"Artichoke, raw, sunchoke"
11008,"Artichokes, (globe or french), cooked, boiled, drained, without salt"
75201020,"Artichokes, NS as to form, cooked, artichoke hearts, with or without fat"
75400500,"Artichokes, stuffed"
11959,"Arugula, raw"
27446355,"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing, Wendy's Mandarin Chicken Salad"
27446350,"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing"
75340020,"Asian stir fry vegetables, cooked, fat added, NS as to fat added, from restaurant"
75340010,"Asian stir fry vegetables, cooked, no added fat"
75340010,"Asian stir fry vegetables, cooked, no added fat, cooking spray"
75601000,"Asparagus soup, cream of, NS as to made with milk or water"
75601010,"Asparagus soup, cream of, prepared with milk"
75601020,"Asparagus soup, cream of, prepared with water"
75202035,"Asparagus, canned, cooked with butter or margarine, animal fat, shortening"
75202034,"Asparagus, canned, cooked with oil"
75202023,"Asparagus, canned, cooked, fat added, NS as to fat type, NS as to fat added"
75202013,"Asparagus, canned, cooked, no added fat, cooking spray"
11015,"Asparagus, canned, drained solids"
75202028,"Asparagus, fresh, cooked with butter or margarine, animal fat, shortening, from restaurant"
75202027,"Asparagus, fresh, cooked with oil"
75202021,"Asparagus, fresh, cooked, fat added, NS as to fat type"
75202021,"Asparagus, fresh, cooked, fat added, NS as to fat type, NS as to fat added"
75202011,"Asparagus, fresh, cooked, no added fat, cooking spray"
75202032,"Asparagus, frozen, cooked with butter or margarine, animal fat, shortening"
75202031,"Asparagus, frozen, cooked with oil"
11019,"Asparagus, frozen, cooked, boiled, drained, without salt"
75202022,"Asparagus, frozen, cooked, fat added, NS as to fat type, NS as to fat added"
75202012,"Asparagus, frozen, cooked, no added fat, cooking spray"
75202020,"Asparagus, NS as to form, cooked, with or without fat"
83112000,"Avocado dressing, Green Goddess"
89902000,"Avocado, for use on a sandwich"
9037,"Avocados, raw, all commercial varieties"
91715200,Baby Ruth
42150,"Babyfood, apple yogurt dessert, strained"
3167,"Babyfood, apple-banana juice"
3289,"Babyfood, apples with ham, strained"
3115,"Babyfood, apples, dices, toddler"
3997,"Babyfood, Baby MUM MUM Rice Biscuits"
42284,"Babyfood, baked product, finger snacks cereal fortified"
43550,"Babyfood, banana apple dessert, strained"
42119,"Babyfood, banana juice with low fat yogurt"
43546,"Babyfood, banana no tapioca, strained"
3995,"Babyfood, banana with mixed berries, strained"
3301,"Babyfood, beverage, GERBER, GRADUATES, FRUIT SPLASHERS"
3290,"Babyfood, carrots and beef, strained"
42316,"Babyfood, carrots, toddler"
3181,"Babyfood, cereal, barley, dry fortified"
42285,"Babyfood, cereal, brown rice, dry, instant"
3185,"Babyfood, cereal, mixed, dry fortified"
3188,"Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified"
3187,"Babyfood, cereal, mixed, with applesauce and bananas, strained"
3186,"Babyfood, cereal, mixed, with bananas, dry"
3189,"Babyfood, cereal, oatmeal, dry fortified"
3192,"Babyfood, cereal, oatmeal, with applesauce and bananas, junior, fortified"
3191,"Babyfood, cereal, oatmeal, with applesauce and bananas, strained"
3190,"Babyfood, cereal, oatmeal, with bananas, dry"
43544,"Babyfood, cereal, rice with pears and apple, dry, instant fortified"
3194,"Babyfood, cereal, rice, dry fortified"
3195,"Babyfood, cereal, rice, with applesauce and bananas, strained"
3212,"Babyfood, cereal, rice, with bananas, dry"
3184,"Babyfood, cereal, whole wheat, with apples, dry fortified"
3222,"Babyfood, cherry cobbler, junior"
3206,"Babyfood, cookie, baby, fruit"
3213,"Babyfood, cookies"
3934,"Babyfood, corn and sweet potatoes, strained"
3209,"Babyfood, crackers, vegetable"
43004,"Babyfood, dessert, banana pudding, strained"
43539,"Babyfood, dessert, banana yogurt, strained"
43537,"Babyfood, dessert, blueberry yogurt, strained"
3225,"Babyfood, dessert, cherry vanilla pudding, junior"
3224,"Babyfood, dessert, cherry vanilla pudding, strained"
3246,"Babyfood, dessert, custard pudding, vanilla, junior"
3245,"Babyfood, dessert, custard pudding, vanilla, strained"
3221,"Babyfood, dessert, dutch apple, junior"
3220,"Babyfood, dessert, dutch apple, strained"
3236,"Babyfood, dessert, fruit dessert, without ascorbic acid, junior"
3235,"Babyfood, dessert, fruit dessert, without ascorbic acid, strained"
3233,"Babyfood, dessert, fruit pudding, pineapple, strained"
3228,"Babyfood, dessert, peach cobbler, junior"
3227,"Babyfood, dessert, peach cobbler, strained"
43536,"Babyfood, dessert, peach yogurt"
3297,"Babyfood, dinner, apples and chicken, strained"
3287,"Babyfood, dinner, beef noodle, junior"
3047,"Babyfood, dinner, beef noodle, strained"
3052,"Babyfood, dinner, beef stew, toddler"
3055,"Babyfood, dinner, beef with vegetables"
3298,"Babyfood, dinner, broccoli and chicken, junior"
43373,"Babyfood, dinner, chicken and noodle with vegetables, toddler"
43008,"Babyfood, dinner, chicken and rice"
3069,"Babyfood, dinner, chicken noodle, junior"
3068,"Babyfood, dinner, chicken noodle, strained"
3070,"Babyfood, dinner, chicken soup, strained"
3072,"Babyfood, dinner, chicken stew, toddler"
3090,"Babyfood, dinner, macaroni and cheese, junior"
3089,"Babyfood, dinner, macaroni and cheese, strained"
3045,"Babyfood, dinner, macaroni and tomato and beef, junior"
3044,"Babyfood, dinner, macaroni and tomato and beef, strained"
43432,"Babyfood, dinner, macaroni, beef and tomato sauce, toddler"
3279,"Babyfood, dinner, mixed vegetable, junior"
3077,"Babyfood, dinner, pasta with vegetables"
3050,"Babyfood, dinner, spaghetti and tomato and meat, junior"
3303,"Babyfood, dinner, sweet potatoes and chicken, strained"
3083,"Babyfood, dinner, turkey and rice, junior"
3082,"Babyfood, dinner, turkey and rice, strained"
3296,"Babyfood, dinner, turkey, rice, and vegetables, toddler"
3054,"Babyfood, dinner, vegetables and beef, junior"
3053,"Babyfood, dinner, vegetables and beef, strained"
3274,"Babyfood, dinner, vegetables and chicken, junior"
3085,"Babyfood, dinner, vegetables and turkey, junior"
3084,"Babyfood, dinner, vegetables and turkey, strained"
3073,"Babyfood, dinner, vegetables chicken, strained"
3023,"Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon"
3964,"Babyfood, fortified cereal bar, fruit filling"
3154,"Babyfood, fruit and vegetable, apple and sweet potato"
3140,"Babyfood, fruit dessert, mango with tapioca"
43585,"Babyfood, fruit supreme dessert"
3165,"Babyfood, fruit, apple and blueberry, junior"
3164,"Babyfood, fruit, apple and blueberry, strained"
3153,"Babyfood, fruit, apple and raspberry, junior"
3152,"Babyfood, fruit, apple and raspberry, strained"
3143,"Babyfood, fruit, applesauce and apricots, junior"
3142,"Babyfood, fruit, applesauce and apricots, strained"
3145,"Babyfood, fruit, applesauce and cherries, junior"
3144,"Babyfood, fruit, applesauce and cherries, strained"
3147,"Babyfood, fruit, applesauce with banana, junior"
3117,"Babyfood, fruit, applesauce, junior"
3116,"Babyfood, fruit, applesauce, strained"
3128,"Babyfood, fruit, apricot with tapioca, junior"
3118,"Babyfood, fruit, apricot with tapioca, strained"
3994,"Babyfood, fruit, banana and strawberry, junior"
3156,"Babyfood, fruit, bananas and pineapple with tapioca, junior"
3157,"Babyfood, fruit, bananas and pineapple with tapioca, strained"
3163,"Babyfood, fruit, bananas with apples and pears, strained"
3280,"Babyfood, fruit, bananas with tapioca, junior"
3129,"Babyfood, fruit, bananas with tapioca, strained"
3131,"Babyfood, fruit, peaches, junior"
3130,"Babyfood, fruit, peaches, strained"
3159,"Babyfood, fruit, pears and pineapple, junior"
3158,"Babyfood, fruit, pears and pineapple, strained"
3133,"Babyfood, fruit, pears, junior"
3132,"Babyfood, fruit, pears, strained"
3135,"Babyfood, fruit, plums with tapioca, without ascorbic acid, junior"
3134,"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained"
3136,"Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained"
43007,"Babyfood, fruit, tutti frutti, junior"
43006,"Babyfood, fruit, tutti frutti, strained"
33878,"Babyfood, GERBER, Banana with orange medley"
44074,"Babyfood, grape juice, no sugar, canned"
3093,"Babyfood, green beans, dices, toddler"
3001,"Babyfood, juice treats, fruit medley, toddler"
3166,"Babyfood, juice, apple"
43535,"Babyfood, juice, apple - cherry"
3265,"Babyfood, juice, apple and grape"
3168,"Babyfood, juice, apple and peach"
3171,"Babyfood, juice, apple and prune"
42266,"Babyfood, juice, apple-sweet potato"
3269,"Babyfood, juice, apple, with calcium"
3267,"Babyfood, juice, fruit punch, with calcium"
3179,"Babyfood, juice, mixed fruit"
3172,"Babyfood, juice, orange"
3174,"Babyfood, juice, orange and apple and banana"
42267,"Babyfood, juice, orange-carrot"
43408,"Babyfood, juice, pear"
3048,"Babyfood, macaroni and cheese, toddler"
3959,"Babyfood, mashed cheddar potatoes and broccoli, toddlers"
43417,"Babyfood, meat, beef with vegetables, toddler"
3003,"Babyfood, meat, beef, junior"
3002,"Babyfood, meat, beef, strained"
3014,"Babyfood, meat, chicken sticks, junior"
3013,"Babyfood, meat, chicken, junior"
3012,"Babyfood, meat, chicken, strained"
3008,"Babyfood, meat, ham, strained"
3010,"Babyfood, meat, lamb, strained"
3021,"Babyfood, meat, meat sticks, junior"
3017,"Babyfood, meat, turkey sticks, junior"
3016,"Babyfood, meat, turkey, junior"
3015,"Babyfood, meat, turkey, strained"
3005,"Babyfood, meat, veal, strained"
42120,"Babyfood, mixed fruit juice with low fat yogurt"
43523,"Babyfood, mixed fruit yogurt, strained"
3996,"Babyfood, Multigrain whole grain cereal, dry fortified"
3205,"Babyfood, oatmeal cereal with fruit, dry, instant, toddler fortified"
3161,"Babyfood, peaches, dices, toddler"
3141,"Babyfood, pears, dices, toddler"
42279,"Babyfood, peas and brown rice"
3122,"Babyfood, peas, dices, toddler"
3293,"Babyfood, plums, bananas and rice, strained"
3112,"Babyfood, potatoes, toddler"
3215,"Babyfood, pretzels"
3139,"Babyfood, prunes, without vitamin c, strained"
3046,"Babyfood, ravioli, cheese filled, with tomato sauce"
43529,"Babyfood, rice and apples, dry"
3019,"Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars"
3998,"Babyfood, Snack, GERBER, GRADUATES, LIL CRUNCHIES, baked whole grain corn snack"
3302,"Babyfood, snack, GERBER, GRADUATES, YOGURT MELTS"
3216,"Babyfood, teething biscuits"
3026,"Babyfood, tropical fruit medley"
42278,"Babyfood, vegetable and brown rice, strained"
3114,"Babyfood, vegetable, butternut squash and corn"
3096,"Babyfood, vegetable, green beans and potatoes"
3098,"Babyfood, vegetables, beets, strained"
3100,"Babyfood, vegetables, carrots, junior"
3099,"Babyfood, vegetables, carrots, strained"
3120,"Babyfood, vegetables, corn, creamed, junior"
3119,"Babyfood, vegetables, corn, creamed, strained"
3283,"Babyfood, vegetables, garden vegetable, strained"
3092,"Babyfood, vegetables, green beans, junior"
3091,"Babyfood, vegetables, green beans, strained"
3282,"Babyfood, vegetables, mix vegetables junior"
3121,"Babyfood, vegetables, peas, strained"
3127,"Babyfood, vegetables, spinach, creamed, strained"
3105,"Babyfood, vegetables, squash, junior"
3104,"Babyfood, vegetables, squash, strained"
3108,"Babyfood, vegetables, sweet potatoes strained"
3109,"Babyfood, vegetables, sweet potatoes, junior"
3024,"Babyfood, water, bottled, GERBER, without added fluoride"
3956,"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified"
3965,"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron fortified"
93301020,Bacardi cocktail
27520120,"Bacon and cheese sandwich, with spread"
27520140,Bacon and egg sandwich
83101600,Bacon and tomato dressing
43212,"Bacon bits, meatless"
41810250,"Bacon bits, meatless or meat"
27520170,"Bacon on biscuit, Hardee's Bacon Biscuit"
22601040,"Bacon or side pork, fresh, cooked"
27520110,"Bacon sandwich, with spread"
28321130,"Bacon soup, cream of, prepared with water, Albertson brand"
41810200,"Bacon strip, meatless, Morning Star Breakfast Strip, Stripple, meat substitute, vegetarian"
89902100,"Bacon, for use on a sandwich"
89901000,"Bacon, for use with vegetables, fat back"
27520150,"Bacon, lettuce, and tomato sandwich with spread"
27520155,"Bacon, lettuce, and tomato submarine sandwich, with spread, Subway B.L.T Sub"
27520156,"Bacon, lettuce, tomato, and cheese submarine sandwich, with spread, Subway B.L.T Sub with cheese"
16104,"Bacon, meatless"
22600100,"Bacon, NS as to type of meat, cooked"
22600110,"Bacon, NS as to type of meat, reduced sodium, cooked, less or lower sodium"
7974,"Bacon, turkey, low sodium"
7973,"Bacon, turkey, microwaved"
54440010,"Bagel chips, all flavors"
51630000,"Bagel, multigrain, Bagel Thins"
51630100,"Bagel, multigrain, with raisins, Bagel Thins"
51501080,"Bagel, oat bran, Bagel Thins"
51404500,"Bagel, pumpernickel, rye, Bagel Thins"
51180010,"Bagel, water bagel, flavored bagel, egg bagel, bialy, Bagel Thins"
51301900,"Bagel, wheat bran, Bagel Thins"
51301700,"Bagel, wheat, Bagel Thins"
51301820,"Bagel, wheat, with fruit and nuts, California Energy Bar, Bagel Thins"
51301800,"Bagel, wheat, with raisins, Bagel Thins"
51300100,"Bagel, whole grain white, Bagel Thins"
51301750,"Bagel, whole wheat, whole grain, Bagel Thins"
51301805,"Bagel, whole wheat, with raisins, whole grain, Bagel Thins"
51180080,"Bagel, with fruit other than raisins, blueberry bagels, Bagel Thins"
51180030,"Bagel, with raisins, Bagel Thins"
18001,"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)"
18968,"Bagels, wheat"
41201010,Baked beans
41201050,Baked beans from fast food / restaurant
41201010,"Baked beans, chili, barbecue, baked beans, NFS"
41221000,"Baked beans, reduced sodium, chili, barbecue"
41201020,"Baked beans, vegetarian"
19124,"Baking chocolate, mexican, squares"
19078,"Baking chocolate, unsweetened, squares"
53441110,"Baklava, Kadayif"
11023,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt"
11025,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt"
11028,"Bamboo shoots, canned, drained solids"
75203028,"Bamboo shoots, cooked, with or without fat"
67404110,"Banana apple dessert, baby food, strained, Gerber Second Foods"
62107200,Banana chips
67250100,"Banana juice with lowfat yogurt, baby food, Gerber Banana Yogurt Juice"
64201500,Banana nectar
13241000,Banana pudding
67408010,"Banana pudding, baby food, strained, Beech-Nut Stage 2"
13121120,Banana split
67106050,"Banana with mixed berries, baby food, strained, Gerber Second Foods"
67408500,"Banana yogurt dessert, baby food, strained, Beech-Nut Stage 2, Gerber Second Foods"
63107410,"Banana, fried, cooked"
63107010,"Banana, raw"
67309020,"Bananas and pineapple, baby food, junior, Gerber Third Foods"
67309000,"Bananas and pineapple, baby food, NS as to strained or junior"
67309010,"Bananas and pineapple, baby food, strained, Gerber Second Foods"
67309030,"Bananas and strawberry, baby food, junior, Gerber Third Foods"
