upc_code,upc_description,aisle,ec_code,ec_description,dist
92229363591,Red Bell Pepper,vegetables,54319500,Rice paper,11
96165588989,"Red Raspberries, 6 oz",fruit,9302,"Raspberries, raw",11
10044791323,Organic Cucumber,vegetables,81301000,Garlic sauce,12
41882642038,Gold Pineapple,fruit,53410100,"Cobbler, apple",12
41882642038,Gold Pineapple,fruit,62110100,Date,12
41882642038,Gold Pineapple,fruit,62120100,"Pineapple, dried",12
43345897254,Cantaloupe Melon,fruit,11935,Catsup,12
63408357468,"Cucumber, One Count",vegetables,75111000,"Cucumber, raw",12
73456003079,"Blackberries, 6 oz",fruit,63200100,"Berries, NFS",12
73456003079,"Blackberries, 6 oz",fruit,9050,"Blueberries, raw",12
73456003079,"Blackberries, 6 oz",fruit,63115200,"Cherries, frozen",12
74645586082,Organic Garlic,vegetables,20027,Cornstarch,12
74645586082,Organic Garlic,vegetables,81301000,Garlic sauce,12
74645586082,Organic Garlic,vegetables,93301330,Gin Rickey,12
74645586082,Organic Garlic,vegetables,54319500,Rice paper,12
78985501471,Honeycrisp Apples,fruit,91302010,Honey,12
10044791323,Organic Cucumber,vegetables,75111000,"Cucumber, raw",13
10044791323,Organic Cucumber,vegetables,25071,Rice crackers,13
29948812460,Green Bell Pepper,vegetables,13210370,Creme brulee,13
29948812460,Green Bell Pepper,vegetables,54319500,Rice paper,13
78985501471,Honeycrisp Apples,fruit,53410100,"Cobbler, apple",13
78985501471,Honeycrisp Apples,fruit,53415500,"Crisp, peach",13
92229363591,Red Bell Pepper,vegetables,13210370,Creme brulee,13
92229363591,Red Bell Pepper,vegetables,18354,"Strudel, apple",13
13429631610,Large Hass Avocado,fruit,81202000,Lard,14
29948812460,Green Bell Pepper,vegetables,75120000,"Green peas, raw",14
43345897254,Cantaloupe Melon,fruit,62110100,Date,14
43345897254,Cantaloupe Melon,fruit,91703070,Rolo,14
79404644563,"Organic Blueberries, 6 oz",fruit,63203600,"Blueberries, frozen",14
81470670078,Large Hass Avocado,vegetables,81202000,Lard,14
96041947986,"Asparagus, 1 Bunch",vegetables,75100300,"Sprouts, NFS",14
13429631610,Large Hass Avocado,fruit,75416500,Pea salad,15
44258316860,Small Hass Avocado,fruit,75416500,Pea salad,15
58917607084,Small Hass Avocado,vegetables,75416500,Pea salad,15
63408357468,"Cucumber, One Count",vegetables,52403000,"Bread, nut",15
63408357468,"Cucumber, One Count",vegetables,51121110,"Bread, onion",15
63408357468,"Cucumber, One Count",vegetables,54339000,"Crackers, corn",15
77974698624,Organic Red Bell Pepper,vegetables,54319500,Rice paper,15
79404644563,"Organic Blueberries, 6 oz",fruit,9050,"Blueberries, raw",15
81470670078,Large Hass Avocado,vegetables,75416500,Pea salad,15
92564980714,Organic Fuji Apples,fruit,54319500,Rice paper,15
92564980714,Organic Fuji Apples,fruit,13252590,Trifle,15
94368536591,"Organic Strawberries, 1 lb",fruit,9316,"Strawberries, raw",15
96041947986,"Asparagus, 1 Bunch",vegetables,19334,"Sugars, brown",15
96165588989,"Red Raspberries, 6 oz",fruit,63207010,"Cranberries, raw",15
96165588989,"Red Raspberries, 6 oz",fruit,63200100,"Berries, NFS",15
96165588989,"Red Raspberries, 6 oz",fruit,63223610,"Strawberries, frozen",15
