id1,code.1,description.1,id2,code.2,description.2,Weight
191,18504387454,Almond Breeze Original Almondmilk,164,82101300,"Almond oil, apricot kernel",0.8316683316683317
487,29948812460,Green Bell Pepper,4754,75120000,"Green peas, raw",0.8309803921568627
483,63408357468,"Cucumber, One Count",3637,11205,"Cucumber, with peel, raw",0.8297908232118759
381,76803617466,"Brunswick Kippered Snacks, 3.53 oz",1401,27360100,Brunswick stew,0.8253501400560223
178,77356634082,"Coffee Mate French Vanilla, Sugar-Free Powdered Coffee Creamer, 10.2 oz",3032,12210400,"Coffee creamer, powder, Coffee Mate, Cremora, Carnation, plain",0.8221353930031804
446,81971699980,"Beanfields Bean Chips, High Protein and Fiber, Gluten Free, Vegan Snack, Jalapeno Nacho, 5.5 Ounce",585,58161320,"Beans and brown rice, lentils, peas, all other beans except red, black, or pinto",0.8213069073783359
503,72578070750,Ginger Root,4621,31033,"Ginger root, pickled, canned, with artificial sweetener",0.8181818181818182
177,56581294880,"Almond Breeze Blue Diamond, Almond milk, Lactose free, Vanila, 64 Oz",161,11350000,"Almond milk, sweetened, vanilla flavored, NS as to sweetened, cashew",0.8181176470588236
177,56581294880,"Almond Breeze Blue Diamond, Almond milk, Lactose free, Vanila, 64 Oz",162,11350030,"Almond milk, unsweetened, chocolate, Blue Diamond Almond Breeze, Silk PureAlmond, Almond Dream",0.8177053944549331
379,85143029209,"Green Giant Mushrooms Pieces & Stems, 4 Ounce Can",65,99997545,"Green beans, cooked, as ingredient",0.8171757591925659
491,66444813288,"Brussels Sprouts, 1 lb",1403,75209021,"Brussels sprouts, fresh, cooked, fat added",0.8160173160173161
491,66444813288,"Brussels Sprouts, 1 lb",1409,75209020,"Brussels sprouts, NS as to form, cooked, with or without fat",0.8150079744816586
446,81971699980,"Beanfields Bean Chips, High Protein and Fiber, Gluten Free, Vegan Snack, Jalapeno Nacho, 5.5 Ounce",594,41208100,"Beans with meat, NS as to type, dried peas, all beans excluding pinto, black, kidney, and refried",0.8145635489049454
173,48520181818,"Coffee Mate The Original Powder Coffee Creamer, 35.3 oz",3103,92101910,"Coffee, Latte, decaffeinated, 2% or whole milk, plain or unflavored",0.8129423834265478
452,38318102317,"Cheez-It Grooves, Crunchy Cheese Snack Crackers, Bold Cheddar, Perfect for Snacking, 9oz Box",2214,14203010,"Cheese, cottage, dry curd, baker's, dutch, skim, Quark Nonfat Soft Spreadable Cheese, pot",0.8126318821136136
416,72456978426,"Cheetos Popcorn, Cheddar, 7 oz Bag",2279,1208,"Cheese, provolone, reduced fat",0.8124420677361852
380,49528838338,"Manischewitz, Gefilte Fish Jelled, 24 oz",5636,58133110,"Manicotti, cheese-filled, no sauce",0.8123420479302832
448,90246166301,"Pepperidge Farm Goldfish Parmesan Crackers, 6.6 oz. Bag",6578,89902050,"Pepper, for use on a sandwich, all kinds",0.8122727272727274
416,72456978426,"Cheetos Popcorn, Cheddar, 7 oz Bag",2243,1169,"Cheese, low-sodium, cheddar or colby",0.8108979823813582
379,85143029209,"Green Giant Mushrooms Pieces & Stems, 4 Ounce Can",4693,75403020,"Green bean casserole, green beans with mushroom sauce",0.8105656098917554
481,45870075878,Yellow Onion,9644,56205170,"Yellow rice, cooked, fat added",0.81
370,69193524620,"Reese Non Pareil Capers, 3.5 Oz",7563,91734200,Reese's Pieces,0.8099287808965226
178,77356634082,"Coffee Mate French Vanilla, Sugar-Free Powdered Coffee Creamer, 10.2 oz",3034,12210420,"Coffee creamer, powder, flavored, Coffee Mate powder, flavored, Carnation",0.8088781953066777
178,77356634082,"Coffee Mate French Vanilla, Sugar-Free Powdered Coffee Creamer, 10.2 oz",3036,12210440,"Coffee creamer,powder, fat free, flavored, light, lite, Coffee Mate, low fat, Carnation",0.8086390863467114
177,56581294880,"Almond Breeze Blue Diamond, Almond milk, Lactose free, Vanila, 64 Oz",156,42200510,"Almond butter, lower sodium, unsalted, reduced sodium, low sodium",0.8085922574157868
452,38318102317,"Cheez-It Grooves, Crunchy Cheese Snack Crackers, Bold Cheddar, Perfect for Snacking, 9oz Box",2275,14410500,"Cheese, processed cheese food, Handi-Snack cheese container",0.8085454339323167
361,46079325198,"Reese Quartered Artichoke Hearts, 14 Ounces",7564,91734300,Reese's Sticks,0.8083056478405315
481,45870075878,Yellow Onion,9645,56205150,"Yellow rice, cooked, no added fat",0.8072727272727273
35,23068430610,"Rice Krispies Treats Marshmallow Snack Bars, Kids Snacks, School Lunch, Value Pack, Original, 12.4oz Box (16 Bars)",7705,56205080,"Rice, creamed, made with milk and sugar, Puerto Rican style, cream o sopa de arroz con leche",0.8066224256292907
481,45870075878,Yellow Onion,9643,32011,"Yellow rice with seasoning, dry packet mix, unprepared",0.8058922558922559
351,25774836100,"Fisher Chef's Naturals Chopped Walnuts, 32 Ounces, Raw, Unsalted, Naturally Gluten Free, No Preservatives, Non-GMO, Keto, Paleo, Vegan Friendly",4105,27550415,"Fish sandwich, fried, on wheat bun, with cheese, fillet, crispy, breaded, on bread or roll, multigrain, whole grain, whole wheat, NS as to cheese",0.8057793995204535
379,85143029209,"Green Giant Mushrooms Pieces & Stems, 4 Ounce Can",4712,75403200,"Green beans, cooked, Szechuan-style, Chinese style green beans",0.8055103820080778
380,49528838338,"Manischewitz, Gefilte Fish Jelled, 24 oz",5638,58133120,"Manicotti, cheese-filled, with tomato sauce, meatless",0.8046798170383075
35,23068430610,"Rice Krispies Treats Marshmallow Snack Bars, Kids Snacks, School Lunch, Value Pack, Original, 12.4oz Box (16 Bars)",7631,58156310,"Rice with Spanish sausage, Puerto Rican style, Cajun rice with sausage and tomato-based sauce, Arroz con chorizo",0.804671694295981
75,46502293069,"Carrington Farms USDA Certified Organic Grass Fed Ghee, 12oz., Compare Our Cost Per Ounce",1745,73102218,"Carrots, fresh, cooked with butter or margarine, animal fat, shortening",0.80444274160635
355,52120613442,"Carrington Farms Organic Chia Seeds, Gluten Free, USDA Organic, 14 Ounce",1728,73102228,"Carrots, canned, cooked with butter or margarine, animal fat, shortening",0.8042735042735043
351,25774836100,"Fisher Chef's Naturals Chopped Walnuts, 32 Ounces, Raw, Unsalted, Naturally Gluten Free, No Preservatives, Non-GMO, Keto, Paleo, Vegan Friendly",4107,27550405,"Fish sandwich, fried, on white bun, with cheese, fillet, crispy, breaded, on bread or roll, NS as to cheese",0.8038353739932856
360,13593298968,"Fisher Snack Honey Roasted Dry Roasted Peanuts, 14 Ounce (Pack of 1)",4128,15192,"Fish, cod, Pacific, cooked, dry heat (may contain additives to retain moisture)",0.8038175153216106
446,81971699980,"Beanfields Bean Chips, High Protein and Fiber, Gluten Free, Vegan Snack, Jalapeno Nacho, 5.5 Ounce",575,41205050,"Bean dip, made with refried beans, Jalapeno pepper bean dip, bean dip, NFS",0.8037755991673042
147,23009185356,"Reese's, Candy, Milk Chocolate Peanut Butter Cup Miniatures Party Bag, 35.6 oz",7563,91734200,Reese's Pieces,0.8036630036630036
319,20909306850,"Lightlife Smart Dogs, Veggie, 12 oz",5492,13130300,"Light ice cream, vanilla",0.803515406162465
97,32108002478,"Reese's Puffs Breakfast Cereal, Chocolate Peanut Butter with Whole Grain, 11.5oz",7562,91734100,"Reese's Peanut Butter Cup, Reese's Bites",0.8033333333333333
416,72456978426,"Cheetos Popcorn, Cheddar, 7 oz Bag",2201,1265,"Cheese, cheddar, nonfat or fat free",0.8033193277310925
173,48520181818,"Coffee Mate The Original Powder Coffee Creamer, 35.3 oz",3032,12210400,"Coffee creamer, powder, Coffee Mate, Cremora, Carnation, plain",0.8033001931192332
487,29948812460,Green Bell Pepper,4724,75500110,"Green beans, pickled",0.803048128342246
452,38318102317,"Cheez-It Grooves, Crunchy Cheese Snack Crackers, Bold Cheddar, Perfect for Snacking, 9oz Box",2127,54401081,"Cheese flavored corn snacks (Cheetos), Cheetos, puffs, Cheetos, crunchy, Cheetos Mix-Ups",0.8028777743995136
97,32108002478,"Reese's Puffs Breakfast Cereal, Chocolate Peanut Butter with Whole Grain, 11.5oz",7563,91734200,Reese's Pieces,0.8028296703296703
321,33558579273,"Lightlife, Tempeh Original Soy Organic oz, 8 Ounce",5486,13130310,"Light ice cream, chocolate",0.8026853146853147
276,78985501471,Honeycrisp Apples,4961,81322000,Honey butter,0.8024509803921569
173,48520181818,"Coffee Mate The Original Powder Coffee Creamer, 35.3 oz",3020,92152010,"Coffee and chicory, brewed, decaffeinated",0.8020990391722098
186,86348272313,"Coffee Mate Original Creamer, Fat-Free, 16 oz",3031,12200100,"Coffee creamer, NFS",0.80203216374269
344,12521412447,"Fisher Chef's Naturals Pecan Halves, 24oz, Naturally Gluten Free, No Preservatives, Non-GMO",4096,27150320,Fish curry,0.801978021978022
202,50756378774,"Baked Cravings Deluxe Confetti Cupcake In A Jar, 5.1 Oz",521,41201020,"Baked beans, vegetarian",0.8018294748729531
15,54140867177,"Pearl Milling Company Buttermilk Complete Mix, 5lb",6528,64215010,Pear nectar,0.8018181818181818
181,90324217471,Coffee Mate Hazelnut Liquid Coffee Creamer 16 fl oz,3032,12210400,"Coffee creamer, powder, Coffee Mate, Cremora, Carnation, plain",0.8017499472907442
319,20909306850,"Lightlife Smart Dogs, Veggie, 12 oz",5489,13130100,"Light ice cream, NFS",0.8014285714285714
189,51354066697,"White Wave Foods Silk Almond Milk Dark Chocolate, 64 oz",9601,26157110,"Whiting, cooked, NS as to cooking method",0.8013636363636364
360,13593298968,"Fisher Snack Honey Roasted Dry Roasted Peanuts, 14 Ounce (Pack of 1)",4158,26100133,"Fish, NS as to type, coated, baked or broiled, no added fat",0.8012915798060365
181,90324217471,Coffee Mate Hazelnut Liquid Coffee Creamer 16 fl oz,3103,92101910,"Coffee, Latte, decaffeinated, 2% or whole milk, plain or unflavored",0.801265730172666
344,12521412447,"Fisher Chef's Naturals Pecan Halves, 24oz, Naturally Gluten Free, No Preservatives, Non-GMO",4147,27350090,"Fish, noodles, and vegetables including carrots, broccoli, and/or dark green leafy; cheese sauce",0.8007367632367632
191,18504387454,Almond Breeze Original Almondmilk,168,42101350,"Almonds, honey roasted",0.8006060606060604
35,23068430610,"Rice Krispies Treats Marshmallow Snack Bars, Kids Snacks, School Lunch, Value Pack, Original, 12.4oz Box (16 Bars)",7730,58160640,"Rice, white, with carrots and dark green vegetables, NS as to fat, broccoli and/or spinach, peppers and/or onions",0.8005362282493161
448,90246166301,"Pepperidge Farm Goldfish Parmesan Crackers, 6.6 oz. Bag",6588,7057,"Pepperoni, beef and pork, sliced",0.8002651515151514
146,48668732150,M&M'S Milk Chocolate MINIS Candy 3-lb. Bulk Candy Bag,5561,91746100,"M&M's Milk Chocolate Candies, ""M & M's"" Mint Chocolate Candies, ""M & M's"" Mini Baking Bits",0.799832285115304
358,83416802670,"Fisher Snack Deluxe Mixed Nuts, 24oz Cashews, Almonds, Pecans, Brazil Nuts (No Peanuts)",4113,28351120,"Fish soup with potatoes, Mexican style, Sopa de Pescado y Mariscos",0.7994262731413024
75,46502293069,"Carrington Farms USDA Certified Organic Grass Fed Ghee, 12oz., Compare Our Cost Per Ounce",1728,73102228,"Carrots, canned, cooked with butter or margarine, animal fat, shortening",0.7992553950419119
344,12521412447,"Fisher Chef's Naturals Pecan Halves, 24oz, Naturally Gluten Free, No Preservatives, Non-GMO",4146,27350100,"Fish, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",0.799111641047125
75,46502293069,"Carrington Farms USDA Certified Organic Grass Fed Ghee, 12oz., Compare Our Cost Per Ounce",1719,73501000,"Carrot soup, cream of, prepared with milk, home recipe, canned or ready-to-serve",0.7987283374595315
351,25774836100,"Fisher Chef's Naturals Chopped Walnuts, 32 Ounces, Raw, Unsalted, Naturally Gluten Free, No Preservatives, Non-GMO, Keto, Paleo, Vegan Friendly",4104,27550410,"Fish sandwich, fried, on wheat bun, fillet, crispy, breaded, on bread or roll, multigrain, whole grain, whole wheat",0.7976215089258567
11,83246507399,Sticky Fingers English Scone Mix Lemon Poppyseed 15oz,8646,93301290,Stinger,0.7974842767295597
448,90246166301,"Pepperidge Farm Goldfish Parmesan Crackers, 6.6 oz. Bag",6601,11977,"Peppers, serrano, raw",0.7974117110959215
441,85223028183,"Cheez-It Gripz, Tiny Baked Snack Cheese Crackers, Original, Great for On-the-Go, 12.6oz Box (14 Count)",2305,27510245,"Cheeseburger, on white bun, 1 large patty, on bread or roll, NS as to grain, third pound size patty",0.7971776589423647
355,52120613442,"Carrington Farms Organic Chia Seeds, Gluten Free, USDA Organic, 14 Ounce",1751,73102225,"Carrots, frozen, cooked with butter or margarine, animal fat, shortening",0.7970588235294118
355,52120613442,"Carrington Farms Organic Chia Seeds, Gluten Free, USDA Organic, 14 Ounce",1734,73103022,"Carrots, canned, reduced sodium, cooked with butter or margarine",0.7965794917257684
321,33558579273,"Lightlife, Tempeh Original Soy Organic oz, 8 Ounce",5488,1302,"Light ice cream, Creamsicle",0.7964175084175084
335,26518133998,"Lightlife, Smart Dogs Jumbo, 13.5 Ounce",5486,13130310,"Light ice cream, chocolate",0.7964102564102563
179,95523420622,"Almond Breeze Blue Diamond, Almond milk, Original, 64 Fl Oz",162,11350030,"Almond milk, unsweetened, chocolate, Blue Diamond Almond Breeze, Silk PureAlmond, Almond Dream",0.795874504147133
204,78439607048,"Baked Cravings Chocolate Cupcake In A Jar, 5.1 Oz",521,41201020,"Baked beans, vegetarian",0.7955456965394854
191,18504387454,Almond Breeze Original Almondmilk,171,42101110,"Almonds, salted",0.7951515151515152
358,83416802670,"Fisher Snack Deluxe Mixed Nuts, 24oz Cashews, Almonds, Pecans, Brazil Nuts (No Peanuts)",4183,15089,"Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone",0.7950054734537493
472,46410103656,"Ducktrap, Cold Smoked wild Sockeye Salmon, 0.25lb",3726,24300120,"Duck, cooked, skin not eaten, any source",0.7944018296973963
358,83416802670,"Fisher Snack Deluxe Mixed Nuts, 24oz Cashews, Almonds, Pecans, Brazil Nuts (No Peanuts)",4182,15088,"Fish, sardine, Atlantic, canned in oil, drained solids with bone",0.7942634381338742
181,90324217471,Coffee Mate Hazelnut Liquid Coffee Creamer 16 fl oz,3056,92162001,"Coffee, Cappuccino, decaffeinated, nonfat, low fat, fat free, skim or 1% milk",0.7941070885116797
179,95523420622,"Almond Breeze Blue Diamond, Almond milk, Original, 64 Fl Oz",164,82101300,"Almond oil, apricot kernel",0.7940196134006009
428,92534866218,"Cheetos Popcorn, Flamin' Hot, 6.5oz Bag",2278,14108400,"Cheese, Provolone",0.7936436112906702
204,78439607048,"Baked Cravings Chocolate Cupcake In A Jar, 5.1 Oz",518,41201050,Baked beans from fast food / restaurant,0.793301936159079
201,25315523125,"Table Talk 4"" Blueberry Pie, Sugar Free, 4 oz",8853,81100000,"Table fat, NFS, NS as to butter, margarine, or blend",0.7924924179762889
147,23009185356,"Reese's, Candy, Milk Chocolate Peanut Butter Cup Miniatures Party Bag, 35.6 oz",7562,91734100,"Reese's Peanut Butter Cup, Reese's Bites",0.7924736048265459
322,98272408741,"Lightlife, Tempeh, Three Grain, USDA Organic, 8 oz",5492,13130300,"Light ice cream, vanilla",0.7922280701754385
360,13593298968,"Fisher Snack Honey Roasted Dry Roasted Peanuts, 14 Ounce (Pack of 1)",4113,28351120,"Fish soup with potatoes, Mexican style, Sopa de Pescado y Mariscos",0.7920793613888243
380,49528838338,"Manischewitz, Gefilte Fish Jelled, 24 oz",5637,58133130,"Manicotti, cheese-filled, with meat sauce, manicotti, NFS",0.791030701754386
361,46079325198,"Reese Quartered Artichoke Hearts, 14 Ounces",7563,91734200,Reese's Pieces,0.7901238296587133
186,86348272313,"Coffee Mate Original Creamer, Fat-Free, 16 oz",3021,53610200,"Coffee cake, crumb or quick-bread type, cheese-filled",0.7900469890840743
66,77714218982,"Rold Gold Pretzels, Classic Thins, 16 oz",7854,91703070,Rolo,0.79
441,85223028183,"Cheez-It Gripz, Tiny Baked Snack Cheese Crackers, Original, Great for On-the-Go, 12.6oz Box (14 Count)",2202,14104115,"Cheese, Cheddar, nonfat or fat free, Kraft nonfat natural cheese",0.7894471677559913
428,92534866218,"Cheetos Popcorn, Flamin' Hot, 6.5oz Bag",2227,1017,"Cheese, cream",0.7892773892773892
428,92534866218,"Cheetos Popcorn, Flamin' Hot, 6.5oz Bag",2229,43274,"Cheese, cream, low fat",0.7892773892773892
475,28123694594,"SeaPak Jumbo Coconut Shrimp, Delicious Seafood with Oven Crispy Breading, Includes Orange Marmalade Sauce, Frozen, 10 Ounces",8085,28355460,"Seafood soup with potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy, soup made with fish and/or shellfish",0.788931851321276
472,46410103656,"Ducktrap, Cold Smoked wild Sockeye Salmon, 0.25lb",3728,5142,"Duck, domesticated, meat only, cooked, roasted",0.7884926796805678
136,62855464371,"Babybel Cheese Mini, Original, 6 Count, 4.48 Oz",366,3054,"Babyfood, dinner, vegetables and beef, junior",0.7876595744680851
179,95523420622,"Almond Breeze Blue Diamond, Almond milk, Original, 64 Fl Oz",174,42101000,"Almonds, unroasted, raw",0.78751890780747
322,98272408741,"Lightlife, Tempeh, Three Grain, USDA Organic, 8 oz",5488,1302,"Light ice cream, Creamsicle",0.7873265993265992
350,67785470158,"Carrington Farms Flax Chia Blend, Gluten Free, USDA Organic, 12 Ounce",1751,73102225,"Carrots, frozen, cooked with butter or margarine, animal fat, shortening",0.7871980676328503
190,69645885481,"Almond Breeze Dairy Free Almondmilk, Vanilla, 32 FL OZ",164,82101300,"Almond oil, apricot kernel",0.787075887075887
240,16417582004,"Ocean Spray Craisins Dried Cranberries Infused with Pomegranate Juice, 6 Ounce Resealable Bag",6120,26125130,"Ocean perch, coated, baked or broiled, fat added, bocaccio, menpachi, orange roughy, redfish, rockfish, NS as to fat",0.7870073502148357
12,17108191538,"Manischewitz, Mix Potato Pancake, 6 Oz",5636,58133110,"Manicotti, cheese-filled, no sauce",0.786781531834702
136,62855464371,"Babybel Cheese Mini, Original, 6 Count, 4.48 Oz",344,3047,"Babyfood, dinner, beef noodle, strained",0.7866884888161484
321,33558579273,"Lightlife, Tempeh Original Soy Organic oz, 8 Ounce",5492,13130300,"Light ice cream, vanilla",0.7866666666666666
205,34732872459,"Baked Cravings Lemon Cupcake In A Jar, 5.1 Oz",521,41201020,"Baked beans, vegetarian",0.7865039410119502
186,86348272313,"Coffee Mate Original Creamer, Fat-Free, 16 oz",3032,12210400,"Coffee creamer, powder, Coffee Mate, Cremora, Carnation, plain",0.7864516129032257
189,51354066697,"White Wave Foods Silk Almond Milk Dark Chocolate, 64 oz",9585,13411000,"White sauce or gravy, cream, milk",0.7864242424242422
190,69645885481,"Almond Breeze Dairy Free Almondmilk, Vanilla, 32 FL OZ",161,11350000,"Almond milk, sweetened, vanilla flavored, NS as to sweetened, cashew",0.7864011069893424
205,34732872459,"Baked Cravings Lemon Cupcake In A Jar, 5.1 Oz",517,41201010,Baked beans,0.7862626262626262
359,76780989721,"Planters NUT-rition Energy Mix With Dried Cranberries, Lightly Salted, 5.5 oz Bag",6883,71905100,"Plantain, cooked with butter or margarine, animal fat, shortening",0.7860425993759327
147,23009185356,"Reese's, Candy, Milk Chocolate Peanut Butter Cup Miniatures Party Bag, 35.6 oz",7564,91734300,Reese's Sticks,0.7855311355311355
475,28123694594,"SeaPak Jumbo Coconut Shrimp, Delicious Seafood with Oven Crispy Breading, Includes Orange Marmalade Sauce, Frozen, 10 Ounces",8086,28355480,"Seafood soup with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soup made with fish and/or shellfish",0.7854704870375668
373,68012470924,"Old El Paso Pickled Jalapeno Slices, 12 oz",6162,93301130,Old fashioned,0.7852480852480852
240,16417582004,"Ocean Spray Craisins Dried Cranberries Infused with Pomegranate Juice, 6 Ounce Resealable Bag",6119,26125121,"Ocean perch, baked or broiled, no added fat, sauteed, fried with no coating, bocaccio, menpachi, orange roughy, redfish, rockfish",0.7852360350361562
148,37616754639,"SNICKERS, TWIX, 3 MUSKETEERS & MILKY WAY Full Size Chocolate Candy Bars Variety Mix, 33.31-Ounce 18-Count Box",8286,91715100,SNICKERS Bar,0.7850152905198777
217,38338913106,"Ocean Spray Craisins Dried Cranberries, Reduced Sugar, 20 Ounce",6124,26125100,"Ocean perch, raw, bocaccio, menpachi, orange roughy, redfish, rockfish",0.7849464747139165
441,85223028183,"Cheez-It Gripz, Tiny Baked Snack Cheese Crackers, Original, Great for On-the-Go, 12.6oz Box (14 Count)",2245,14120010,"Cheese, Mexican blend, Kraft Mexican Four Cheese, Sargento Mexican 4 Cheese",0.7848840146227983
189,51354066697,"White Wave Foods Silk Almond Milk Dark Chocolate, 64 oz",9602,26157160,"Whiting, steamed or poached",0.7844415166154296
203,81795460329,"Baked Cravings Vanilla Cupcake In A Jar, 5.1 Oz",517,41201010,Baked beans,0.7843713733075434
97,32108002478,"Reese's Puffs Breakfast Cereal, Chocolate Peanut Butter with Whole Grain, 11.5oz",7561,91734400,Reese's Fast Break,0.7843300653594771
136,62855464371,"Babybel Cheese Mini, Original, 6 Count, 4.48 Oz",359,3279,"Babyfood, dinner, mixed vegetable, junior",0.7843057305952998
230,36203178082,"Craisins Reduced Sugar Dried Cranberries, 5 oz",3501,62109100,"Cranberries, dried, Craisins, cranberries, NFS, all flavors",0.7842641792395506
322,98272408741,"Lightlife, Tempeh, Three Grain, USDA Organic, 8 oz",5486,13130310,"Light ice cream, chocolate",0.7838461538461539
472,46410103656,"Ducktrap, Cold Smoked wild Sockeye Salmon, 0.25lb",3727,5140,"Duck, domesticated, meat and skin, cooked, roasted",0.7836122448979592
240,16417582004,"Ocean Spray Craisins Dried Cranberries Infused with Pomegranate Juice, 6 Ounce Resealable Bag",6122,26125140,"Ocean perch, coated, fried, fried, NS as to coating, bocaccio, menpachi, orange roughy, redfish, rockfish",0.7835944700460831
220,10128960084,"Ocean Spray, Craisins Dried Cranberries, Original, 12 Ounce Resealable Bag",6124,26125100,"Ocean perch, raw, bocaccio, menpachi, orange roughy, redfish, rockfish",0.7835263835263835
290,75993257898,Breyers Ice Cream for a Delicious Dessert Chocolate Ice Cream Made with Real Dutch Cocoa 48 oz,1323,51101060,"Bread, white, made from home recipe or purchased at a bakery, toasted, not pre-sliced",0.7833686338692596
107,67949795212,"Nature's Path Organic Granola Cereal, Chia Plus Coconut Chia, 12.34 Oz",5965,16113,Natto,0.7833333333333332
220,10128960084,"Ocean Spray, Craisins Dried Cranberries, Original, 12 Ounce Resealable Bag",6125,26125160,"Ocean perch, steamed or poached, bocaccio, orange roughy, menpachi, redfish, rockfish",0.783328033916269
102,83445167149,"Nature Valley Oats & Honey Big & Crunchy Granola Breakfast Cereal, 16 oz.",5965,16113,Natto,0.7826484018264841
204,78439607048,"Baked Cravings Chocolate Cupcake In A Jar, 5.1 Oz",517,41201010,Baked beans,0.782634508348794
354,67106559484,"Blue Diamond Almonds Gluten Free Smokehouse Flavored Snack Nuts, 16 Oz Resealable Bag (Pack of 1)",1129,83101000,"Blue or roquefort cheese dressing, Blue or roquefort cheese dressing, NFS, blue cheese dip",0.781741861582234
361,46079325198,"Reese Quartered Artichoke Hearts, 14 Ounces",7562,91734100,"Reese's Peanut Butter Cup, Reese's Bites",0.7816994633273703
350,67785470158,"Carrington Farms Flax Chia Blend, Gluten Free, USDA Organic, 12 Ounce",1728,73102228,"Carrots, canned, cooked with butter or margarine, animal fat, shortening",0.7816810566348031
350,67785470158,"Carrington Farms Flax Chia Blend, Gluten Free, USDA Organic, 12 Ounce",1745,73102218,"Carrots, fresh, cooked with butter or margarine, animal fat, shortening",0.7816397904334218
475,28123694594,"SeaPak Jumbo Coconut Shrimp, Delicious Seafood with Oven Crispy Breading, Includes Orange Marmalade Sauce, Frozen, 10 Ounces",8087,28355470,"Seafood soup with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soup made with fish and/or shellfish",0.7814829371197846
347,33595970482,"Squirrel Brand, Artisan Nuts Sweet Brown Butter Cashews, 3.5 oz",8598,26213190,"Squid, canned, calamares en su tinta, squid in its own ink",0.7813692055071365
335,26518133998,"Lightlife, Smart Dogs Jumbo, 13.5 Ounce",5488,1302,"Light ice cream, Creamsicle",0.7811965811965812
