upc_code,upc_description,aisle,ec_code,ec_description,dist
64660325165,"Himalayan Pink Salt Grass-Fed Ghee Butter by 4th & Heart, 9 Ounce, Keto, Pasture Raised, Non-GMO, Lactose Free, Certified Paleo",butter,58106300,"Pizza, cheese, with vegetables, from frozen, thin crust, original, medium, flatbread, or NS as to type of crust, homemade or ready-to-bake pizza",0.23689486730825315
72401114680,"Wonderful Pistachios, Roasted and Salted, 16 Ounce Bag",nuts and seeds,42104110,"Cashews, unsalted, plain, roasted, not coated",0.23915343915343923
34158876325,"4th & Heart Original Grass-Fed Ghee Butter, 9 Ounce, Keto, Pasture Raised, Non-GMO, Lactose Free, Certified Paleo",butter,67108010,"Peaches, baby food, strained, Gerber Second Foods, Beech-Nut Stage 1 Starter Size, Beech-Nut Stage 1, Gerber First Foods",0.23936190816721792
28098554304,"Amy's Frozen Cheese Pizza, Made with Mozzarella and Organic Tomatoes, Hand Stretched Crust, Single Serve",pizza,14620310,"Topping from vegetable pizza, cheese, tomato sauce, and vegetables from pizza crust of any thickness",0.24001788908765653
34158876325,"4th & Heart Original Grass-Fed Ghee Butter, 9 Ounce, Keto, Pasture Raised, Non-GMO, Lactose Free, Certified Paleo",butter,58109140,"Pizza, cheese and vegetables, gluten-free thin crust, original, medium, hand-tossed, flatbread, or NS as to type of crust",0.2416527204753035
72578070750,Ginger Root,vegetables,75503085,"Ginger root, pickled, gari, sushi ginger",0.2416666666666667
64774726281,"KIND Healthy Grains Clusters, Cinnamon Oat Clusters with Flax Seeds, Gluten Free, Non GMO, 11 Ounce Bag",cereals,24144301,"Chicken drumstick, sauteed, skin not eaten, any source, NS as to skin eaten, with or without fat",0.2420442286947141
93995325291,"Atkins Protein Meal Bar, Chocolate Peanut Butter, Keto Friendly, 5 Count",bars,53233100,"Cookie, oatmeal, with chocolate and peanut butter, no bake",0.24248475866888364
77852193212,"Vega Sport Vegan Protein Bar, Crispy Mint Chocolate, Post Workout Protein Energy Bars - Plant Based, Vegan, BCAAs, Vegetarian, Dairy Free, Gluten Free, Non GMO (12 Count)",bars,32130830,"Egg omelet or scrambled egg, with meat and dark-green vegetables, fat added, broccoli, spinach, peppers, onions, and other vegetables, nonstick or cooking spray, all meat, poultry, and seafood",0.24272875816993478
28123694594,"SeaPak Jumbo Coconut Shrimp, Delicious Seafood with Oven Crispy Breading, Includes Orange Marmalade Sauce, Frozen, 10 Ounces",seafood,27111420,"Chili con carne without beans, coney island sauce, chili served on hot dogs, hamburgers or french fries",0.2432008700303392
77852193212,"Vega Sport Vegan Protein Bar, Crispy Mint Chocolate, Post Workout Protein Energy Bars - Plant Based, Vegan, BCAAs, Vegetarian, Dairy Free, Gluten Free, Non GMO (12 Count)",bars,32130850,"Egg omelet or scrambled egg, with meat and dark-green vegetables, NS as to fat, broccoli, spinach, peppers, onions, and other vegetables, all meat, poultry, and seafood",0.2436776537098857
56014054208,"Lundberg Organic Thin Stackers, Lightly Salted, 6oz, Gluten-Free, Vegan, USDA Certified Organic, Non-GMO Verified, Kosher, Whole Grain Brown Rice",rice cakes,14030,"Beverages, THE COCA-COLA COMPANY, NOS energy drink, Original, grape, loaded cherry, charged citrus, fortified with vitamins B6 and B12",0.2441423713077615
28123694594,"SeaPak Jumbo Coconut Shrimp, Delicious Seafood with Oven Crispy Breading, Includes Orange Marmalade Sauce, Frozen, 10 Ounces",seafood,27450410,"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce, Szechuan shrimp, Hunan shrimp",0.2443556459685492
46365901307,Lime,fruit,9160,"Lime juice, raw",0.24444444444444446
75378596809,"Just Crack an Egg Rustic Scramble Breakfast Bowl Kit with Turkey Sausage, Mozzarella Cheese, Potatoes, Mushrooms, Onions and Red Peppers, 3 oz. Cup",eggs,58104280,"Gordita, sope, or chalupa with meat and sour cream, Taco Bell Chalupa Supreme, with beef, steak, pork, sausage, and/or chorizo, Taco Bell Gordita Supreme",0.24506794170659718
56014054208,"Lundberg Organic Thin Stackers, Lightly Salted, 6oz, Gluten-Free, Vegan, USDA Certified Organic, Non-GMO Verified, Kosher, Whole Grain Brown Rice",rice cakes,26151124,"Trout, baked or broiled, made with cooking spray, sauteed, fried with no coating, cisco, lake herring, steelhead, whitefish",0.24520626225487163
59587201070,"HERSHEY'S SPECIAL DARK Chocolate Bars, Mildly Sweet Dark Chocolate, Sugar Free, 3 Ounce",chocolate candy,27320030,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",0.24567073323075073
98062553511,"Horizon Organic String Cheese, Mozzarella, 6 Ounce, Individually Packaged Mozzarella String Cheese with Protein and Calcium, Great for Snacks for Kids or Grown-Ups",cheese,13110102,"Ice cream, vanilla, with additional ingredients, nuts, candy, cookies, chocolate or other ingredients within the ice cream, other flavors, swirl, in a cup, scoop",0.24729451663300694
66600588380,"PLANTERS Fancy Whole Cashews with Sea Salt, 33 oz. Resealable Jar - Snack for Adults Made with Simple Ingredients - Good Source of Essential Nutrients - Kosher",nuts and seeds,58302080,"Noodles with vegetables in tomato-based sauce, diet frozen meal, Weight Watchers Angel Hair Pasta, Stouffer's Lean Cuisine Angel Hair Pasta",0.24751863414928443
73118509025,"Lundberg Organic Brown Rice Cakes, Lightly Salted, 8.5oz, Gluten-Free, Vegan, USDA Certified Organic, Non-GMO Verified, Kosher, Whole Grain Brown Rice",rice cakes,53243000,"Cookie, vanilla sandwich, Vienna Fingers, Cameos, butter sandwich cookie, Golden Oreos, Keebler EL Fudge (Elfin) sanwich cookie",0.24868796061509257
77852193212,"Vega Sport Vegan Protein Bar, Crispy Mint Chocolate, Post Workout Protein Energy Bars - Plant Based, Vegan, BCAAs, Vegetarian, Dairy Free, Gluten Free, Non GMO (12 Count)",bars,32130840,"Egg omelet or scrambled egg, with meat and dark-green vegetables, no added fat, broccoli, spinach, peppers, onions, and other vegetables, all meat, poultry, and seafood",0.24906240273887348
64898652203,"Mezzetta Non-Pareil Capers, Imported Gourmet, 4 Ounce",pickled,21226,"Pizza, meat and vegetable topping, regular crust, frozen, cooked",0.2495407361057631
98062553511,"Horizon Organic String Cheese, Mozzarella, 6 Ounce, Individually Packaged Mozzarella String Cheese with Protein and Calcium, Great for Snacks for Kids or Grown-Ups",cheese,13142100,"Light ice cream cone, vanilla, prepackaged, light sundae cone, other flavors, swirl, any topping, fat or sugar free, reduced fat or sugar",0.2497224523457675
61822344004,"Pacific Foods, Almond Beverage, Unsweetened, Low Fat, Organic, 32 oz",dairy alternatives,13120735,"Ice cream cone, scooped, vanilla, waffle cone, other flavors, swirl",0.2498716428179022
83416802670,"Fisher Snack Deluxe Mixed Nuts, 24oz Cashews, Almonds, Pecans, Brazil Nuts (No Peanuts)",nuts and seeds,24103000,"Chicken, NS as to part, stewed, NS as to skin eaten, braised, any source",0.2500319284802044
34158876325,"4th & Heart Original Grass-Fed Ghee Butter, 9 Ounce, Keto, Pasture Raised, Non-GMO, Lactose Free, Certified Paleo",butter,58109050,"Pizza, cheese and vegetables, whole wheat thin crust, original, medium, hand-tossed, flatbread, or NS as to type of crust",0.25046581201046203
24232496245,"Birch Benders Pancake and Waffle Mix with Whey, Protein, 16 Oz",baking mixes,58160154,"Black beans and white rice, all types of rice except brown",0.25049314052651095
28098554304,"Amy's Frozen Cheese Pizza, Made with Mozzarella and Organic Tomatoes, Hand Stretched Crust, Single Serve",pizza,58156710,"Rice with stewed beans, Puerto Rican style, Arroz guisado con habichuelas, Arroz mamposteado",0.25105364766022253
28098554304,"Amy's Frozen Cheese Pizza, Made with Mozzarella and Organic Tomatoes, Hand Stretched Crust, Single Serve",pizza,22976,"Ravioli, cheese with tomato sauce, frozen, not prepared, includes regular and light entrees",0.25123019550730397
12673368094,Dave’s Killer Bread Organic White Bread Done Right - 24 oz Loaf,bread,27564100,"Frankfurter or hot dog sandwich, beef, plain, on whole grain white bread",0.2513347763347763
48679739474,Russet Potato,vegetables,73406000,"Sweet potato, candied",0.2515262515262515
93995325291,"Atkins Protein Meal Bar, Chocolate Peanut Butter, Keto Friendly, 5 Count",bars,71200120,"Potato chips, sour cream and onion flavored, regular or kettle cut",0.2517705793567864
28123694594,"SeaPak Jumbo Coconut Shrimp, Delicious Seafood with Oven Crispy Breading, Includes Orange Marmalade Sauce, Frozen, 10 Ounces",seafood,28355480,"Seafood soup with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soup made with fish and/or shellfish",0.2520791802311949
76383130913,"Mission Carb Balance Spinach Herb Tortilla Wraps, Low Carb, Keto, High Fiber, No Sugar, 8 Count",bread,27111407,"Chili con carne with beans, canned, microwavable tub, frozen, chili beef soup, regular or chunky style",0.2521819254017398
72401114680,"Wonderful Pistachios, Roasted and Salted, 16 Ounce Bag",nuts and seeds,71411000,"Potato skins, with cheese and bacon, sour cream, salsa",0.2522446689113357
75378596809,"Just Crack an Egg Rustic Scramble Breakfast Bowl Kit with Turkey Sausage, Mozzarella Cheese, Potatoes, Mushrooms, Onions and Red Peppers, 3 oz. Cup",eggs,58165000,"Rice, white, with vegetables, cheese and/or cream based sauce, NS as to fat, any type of vegetable, mushroom soup-based sauce, white sauce",0.2524868950282152
73118509025,"Lundberg Organic Brown Rice Cakes, Lightly Salted, 8.5oz, Gluten-Free, Vegan, USDA Certified Organic, Non-GMO Verified, Kosher, Whole Grain Brown Rice",rice cakes,83202020,"French or Catalina dressing, light, diet, low calorie, low fat, reduced calorie, or reduced fat dressing, Western, Sweet and Sour dressing",0.2525089094796864
16417582004,"Ocean Spray Craisins Dried Cranberries Infused with Pomegranate Juice, 6 Ounce Resealable Bag",dried fruit,27118130,"Stewed dried beef, Puerto Rican style, Ropa vieja, Tasajo guisado, Carne cecina guisada",0.2527153627487333
79593405094,"Lundberg Organic Brown Rice Cakes, Cinnamon Toast, 9.5oz, Gluten-Free, Vegan, Whole Grain, Kosher, USDA Certified Organic, Non-GMO Verified",rice cakes,75205048,"Green beans, frozen, cooked with butter or margarine, Italian beans, string, pole, snap, french cut, animal fat, shortening",0.25281976133002626
92574214100,"Guerrero White Corn Tortillas, Gluten Free, Trans Fat Free, Small Soft Taco Size, 30 Count",bread,91108020,"Sugar substitute, monk fruit, powder, Monk Fruit In The Raw, Nectresse, orange packet or package",0.2528752436647175
18729034508,"Chicken of the Sea, Pink Salmon, 5 Oz",seafood,24198500,Chicken feet,0.25300300300300305
76383130913,"Mission Carb Balance Spinach Herb Tortilla Wraps, Low Carb, Keto, High Fiber, No Sugar, 8 Count",bread,58100160,"Burrito with meat, beans, and rice, Taco Bell Grilled Stuft Burrito, with beef, steak, pork, sausage, and/or chorizo",0.2531659608792095
66444813288,"Brussels Sprouts, 1 lb",vegetables,11101,"Brussels sprouts, frozen, cooked, boiled, drained, without salt",0.2532467532467533
18504387454,Almond Breeze Original Almondmilk,dairy alternatives,82101300,"Almond oil, apricot kernel",0.2533022533022533
20009885985,"Back to Nature Gluten Free Crackers, Non-GMO Multi-Seed Rice Thins, 4 Ounce",rice cakes,75205132,"Green beans, canned, reduced sodium, cooked with butter or margarine",0.2536468372659799
17243914727,"Mission Carb Balance Soft Taco Flour Tortillas, Low Carb, Keto, High Fiber, No Sugar, 8 Count",bread,11461210,"Frozen yogurt bar, vanilla, frozen yogurt bar, NFS, stick, other flavors, swirl, with or without coating",0.25375239585305653
94444882989,"English Cucumber, One Count",vegetables,24198736,"Chicken nuggets, from frozen",0.25436908770242117
98062553511,"Horizon Organic String Cheese, Mozzarella, 6 Ounce, Individually Packaged Mozzarella String Cheese with Protein and Calcium, Great for Snacks for Kids or Grown-Ups",cheese,27343470,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",0.2545006005128705
73118509025,"Lundberg Organic Brown Rice Cakes, Lightly Salted, 8.5oz, Gluten-Free, Vegan, USDA Certified Organic, Non-GMO Verified, Kosher, Whole Grain Brown Rice",rice cakes,92102502,"Coffee, Iced Latte, with non-dairy milk, almond, coconut, rice, or soy milk, plain or unflavored, NS as to regular or decaffeinated",0.25452809218800265
49814234741,"Sargento Balanced Breaks with Natural Sharp Cheddar Cheese with Cashews and Cherry Juice- Infused Dried Cranberries, 1.5 oz., 3-Pack",cheese,14640002,"Cheese sandwich, American cheese, on white bread, no spread, other bread such as potato, Italian, and rye, bread, NFS",0.2547508047508049
33558579273,"Lightlife, Tempeh Original Soy Organic oz, 8 Ounce",meat alternatives,58131120,"Ravioli, NS as to filling, with cream sauce",0.2547999161952651
46502293069,"Carrington Farms USDA Certified Organic Grass Fed Ghee, 12oz., Compare Our Cost Per Ounce",butter,13130310,"Light ice cream, chocolate, fat or sugar free, reduced fat or sugar, in a cup, scoop",0.25480797812258493
25774836100,"Fisher Chef's Naturals Chopped Walnuts, 32 Ounces, Raw, Unsalted, Naturally Gluten Free, No Preservatives, Non-GMO, Keto, Paleo, Vegan Friendly",nuts and seeds,13120790,"Ice cream cone, vanilla, prepackaged, Drumstick, all flavors, prepackaged cone, NFS, other flavors, swirl, with nuts, sundae cone, Nutty Buddy",0.2548477983817292
75378596809,"Just Crack an Egg Rustic Scramble Breakfast Bowl Kit with Turkey Sausage, Mozzarella Cheese, Potatoes, Mushrooms, Onions and Red Peppers, 3 oz. Cup",eggs,27443120,"Chicken or turkey a la king with vegetables excluding carrorts, broccoli, and dark-green leafy; no potatoes, cream, white, or soup-based sauce",0.25484926594020185
55883816995,"Quaker Chewy Dipps Chocolatey Covered Granola Bars, Peanut Butter, 14 Bars",bars,27422010,"Pork chop stewed with vegetables, Puerto Rican style, Chuletas a la jardinera",0.25496793465543455
93995325291,"Atkins Protein Meal Bar, Chocolate Peanut Butter, Keto Friendly, 5 Count",bars,43205,"Beverage, instant breakfast powder, chocolate, not reconstituted",0.25502558479532167
49814234741,"Sargento Balanced Breaks with Natural Sharp Cheddar Cheese with Cashews and Cherry Juice- Infused Dried Cranberries, 1.5 oz., 3-Pack",cheese,14640105,"Grilled cheese sandwich, American cheese, on white bread, other bread such as potato, Italian, and rye, bread, NFS",0.25539555473766007
96165588989,"Red Raspberries, 6 oz",fruit,63219610,"Raspberries, frozen",0.2554425278883484
14404237262,Organic Lemon,fruit,53202000,"Cookie, almond",0.2554945054945055
64774726281,"KIND Healthy Grains Clusters, Cinnamon Oat Clusters with Flax Seeds, Gluten Free, Non GMO, 11 Ounce Bag",cereals,28140740,"Chicken patty or nuggets, boneless, breaded, with pasta and tomato sauce, fruit, dessert, frozen meal, Kid Cuisine Chicken Nuggets Meal",0.25585632007077974
64774726281,"KIND Healthy Grains Clusters, Cinnamon Oat Clusters with Flax Seeds, Gluten Free, Non GMO, 11 Ounce Bag",cereals,53452120,"Pastry, made with bean or lotus seed paste filling, baked, Chinese Moon Cake, Banh Trung Thu, Asian style",0.25592103419773327
44166536363,"Sargento Sliced Sharp Natural Cheddar Cheese, 11 slices",cheese,1259,"Cheese spread, American or Cheddar cheese base, reduced fat",0.25614600876721505
89469831243,"Mission Soft Taco Flour Tortillas, Trans Fat Free, Authentic, Medium Size, 10 Count",bread,91708020,"Soft fruit confections, soft fruit candy, Aplets, Cotlets, Fruit Delights, all flavors, with nuts",0.2566187775155606
57269697112,"Orville Redenbacher's Naturals Simply Salted Microwave Popcorn, 3.29 Oz, 6 count",popcorn,58118210,"Cornmeal coconut dessert, Puerto Rican style, Harina de maiz con coco",0.2566658874863643
23324098105,Atkins Chocolate Peanut Butter Pretzel Protein Meal Bar. Sweet and Salty. Keto-Friendly. (5 Bars),bars,27418410,"Beef steak with onions, Puerto Rican style, Puerto Rican style stewed steak, Biftec encebollado",0.25688415626695615
76383130913,"Mission Carb Balance Spinach Herb Tortilla Wraps, Low Carb, Keto, High Fiber, No Sugar, 8 Count",bread,58100525,"Enchilada with meat and beans, green-chile or enchilada sauce, with beef, steak, pork, sausage, and/or chorizo",0.2574069952894922
79593405094,"Lundberg Organic Brown Rice Cakes, Cinnamon Toast, 9.5oz, Gluten-Free, Vegan, Whole Grain, Kosher, USDA Certified Organic, Non-GMO Verified",rice cakes,83201400,"Coleslaw dressing, light, diet, low calorie, low fat, reduced calorie, or reduced fat dressing, milk, vinegar, and sugar dressing",0.25748537382718406
44816941551,"SeaPak Jumbo Butterfly Shrimp with Oven Crispy Breading, Delicious Seafood, Frozen 9 ounces",seafood,67501100,"Apples with ham, baby food, strained, Gerber Second Foods Simple Recipe",0.25764731678153385
94749932593,"Orville Redenbacher's SmartPop! Kettle Corn Popcorn, 1.16 Ounce Single Serve Bag, 12-Count",popcorn,27450405,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",0.25778248544205995
25774836100,"Fisher Chef's Naturals Chopped Walnuts, 32 Ounces, Raw, Unsalted, Naturally Gluten Free, No Preservatives, Non-GMO, Keto, Paleo, Vegan Friendly",nuts and seeds,28315050,"Beef vegetable soup with potato, pasta, or rice, chunky style, canned, or ready-to-serve, Campbell's Chunky beef and vegetable soups",0.2577904551588762
52120613442,"Carrington Farms Organic Chia Seeds, Gluten Free, USDA Organic, 14 Ounce",nuts and seeds,53260200,"Cookie, oatmeal, sugar free, Murray Sugar Free Cookies, with raisins",0.25786893704850367
57335558893,"Vega Protein Snack Bar, Chocolate Peanut Butter - Vegan Protein Bars, Plant Based, Vegetarian, Dairy Free, Gluten Free, Soy Free, Non GMO (12 Count)",bars,32130480,"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, NS as to fat, broccoli, spinach, peppers, onions, and other vegetables",0.2579043329043329
53389454961,"Califia Farms Almond Milk, Non Dairy, Sugar Free, Keto Friendly, Whole 30, Vegan, Plant Based, Nut Milk, Non-GMO, Unsweetened, 48 Ounce, (Pack of 1)",dairy alternatives,56203540,"Oatmeal, made with milk and sugar, Puerto Rican style, Avena con leche y azucar, NS as to type of milk, Avena, estilo puertorriqueno",0.25799603431182383
17340789666,"Sara Lee Original Artesano Bakery Bread, Thick Slices & Soft Texture, 20 oz",bread,27450405,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",0.2581136142400222
51354066697,"White Wave Foods Silk Almond Milk Dark Chocolate, 64 oz",dairy alternatives,19152,"Candies, ROLO Caramels in Milk Chocolate",0.2581168831168832
67785470158,"Carrington Farms Flax Chia Blend, Gluten Free, USDA Organic, 12 Ounce",nuts and seeds,53420000,"Cream puff, eclair, custard or cream filled, NS as to icing",0.2581197630939709
53389454961,"Califia Farms Almond Milk, Non Dairy, Sugar Free, Keto Friendly, Whole 30, Vegan, Plant Based, Nut Milk, Non-GMO, Unsweetened, 48 Ounce, (Pack of 1)",dairy alternatives,92102502,"Coffee, Iced Latte, with non-dairy milk, almond, coconut, rice, or soy milk, plain or unflavored, NS as to regular or decaffeinated",0.2582285167504963
23009185356,"Reese's, Candy, Milk Chocolate Peanut Butter Cup Miniatures Party Bag, 35.6 oz",chocolate candy,28310420,"Beef and rice soup, Puerto Rican style, Sopa de carne y arroz",0.2582442602934407
44816941551,"SeaPak Jumbo Butterfly Shrimp with Oven Crispy Breading, Delicious Seafood, Frozen 9 ounces",seafood,28310320,"Beef noodle soup, Puerto Rican style, Sopa de carne y fideos",0.2583648931106559
23009185356,"Reese's, Candy, Milk Chocolate Peanut Butter Cup Miniatures Party Bag, 35.6 oz",chocolate candy,58115210,"Taco with crab meat, Puerto Rican style, crab pastelillo, Taco de jueye",0.25847905186842046
84196820463,"Califia Farms Almond Milk, Non Dairy, Plant Based, Nut Milk, Vegan, Non-GMO, Toasted Coconut, 48 Fl Oz, (Pack of 1)",dairy alternatives,92101903,"Coffee, Latte, with non-dairy milk, almond, coconut, rice, or soy milk, plain or unflavored, NS as to regular or decaffeinated",0.2585324578006455
44816941551,"SeaPak Jumbo Butterfly Shrimp with Oven Crispy Breading, Delicious Seafood, Frozen 9 ounces",seafood,58404520,"Chicken or turkey soup with dumplings, home recipe, canned or ready-to-serve",0.25863083014112753
81971699980,"Beanfields Bean Chips, High Protein and Fiber, Gluten Free, Vegan Snack, Jalapeno Nacho, 5.5 Ounce",rice cakes,75205050,"Green beans, canned, cooked with oil, Italian beans, string, pole, snap, french cut",0.2586441361579509
10138173311,"PLANTERS Deluxe Salted Mixed Nuts, 34 oz. Resealable Canister - Contains Cashews, Almonds, Pecans, Pistachios & Hazelnuts Seasoned with Sea Salt",nuts and seeds,58302080,"Noodles with vegetables in tomato-based sauce, diet frozen meal, Weight Watchers Angel Hair Pasta, Stouffer's Lean Cuisine Angel Hair Pasta",0.25884998216116384
17243914727,"Mission Carb Balance Soft Taco Flour Tortillas, Low Carb, Keto, High Fiber, No Sugar, 8 Count",bread,26115124,"Flounder, baked or broiled, made with cooking spray, sauteed, fried with no coating, dab, fluke, sole, turbot",0.25893107563633133
69546117565,"Quorn Foods Meatless Grounds, Vegetarian, Frozen, 12 Oz",meat alternatives,26147140,"Sturgeon, coated, fried, fried, NS as to coating",0.25896464646464645
57335558893,"Vega Protein Snack Bar, Chocolate Peanut Butter - Vegan Protein Bars, Plant Based, Vegetarian, Dairy Free, Gluten Free, Soy Free, Non GMO (12 Count)",bars,32130850,"Egg omelet or scrambled egg, with meat and dark-green vegetables, NS as to fat, broccoli, spinach, peppers, onions, and other vegetables, all meat, poultry, and seafood",0.258979758979759
52120613442,"Carrington Farms Organic Chia Seeds, Gluten Free, USDA Organic, 14 Ounce",nuts and seeds,54360000,"Crunchy snacks, corn based, baby food, Gerber Graduate Lil' Crunchies Snacks",0.2590643274853801
66600588380,"PLANTERS Fancy Whole Cashews with Sea Salt, 33 oz. Resealable Jar - Snack for Adults Made with Simple Ingredients - Good Source of Essential Nutrients - Kosher",nuts and seeds,26127120,"Perch, baked or broiled, made with oil, sauteed, fried with no coating, freshwater bass, bluegill, crappie, sunfish, walleye, NS as to fat, NS as to fat type",0.2592033722346885
57335558893,"Vega Protein Snack Bar, Chocolate Peanut Butter - Vegan Protein Bars, Plant Based, Vegetarian, Dairy Free, Gluten Free, Soy Free, Non GMO (12 Count)",bars,32130840,"Egg omelet or scrambled egg, with meat and dark-green vegetables, no added fat, broccoli, spinach, peppers, onions, and other vegetables, all meat, poultry, and seafood",0.2592836839020046
49814234741,"Sargento Balanced Breaks with Natural Sharp Cheddar Cheese with Cashews and Cherry Juice- Infused Dried Cranberries, 1.5 oz., 3-Pack",cheese,24103075,"Chicken, NS as to part, grilled with sauce, skin eaten, barbecued with sauce, with barbecue sauce or marinade, any source",0.25949460297659266
52120613442,"Carrington Farms Organic Chia Seeds, Gluten Free, USDA Organic, 14 Ounce",nuts and seeds,75202035,"Asparagus, canned, cooked with butter or margarine, animal fat, shortening",0.25975770852820046
55812562111,"Native Forest Artichoke Hearts, Quartered, 14 Ounces",pickled,71401031,"Potato, french fries, restaurant, other place",0.25979344729344733
66600588380,"PLANTERS Fancy Whole Cashews with Sea Salt, 33 oz. Resealable Jar - Snack for Adults Made with Simple Ingredients - Good Source of Essential Nutrients - Kosher",nuts and seeds,28110660,"Meatballs, Swedish, in gravy, with noodles, diet frozen meal, Lean Cuisine Swedish Meatballs with Pasta, Weight Watchers Smart Ones, Michelina's Lean Gourmet",0.2599348551007006
17243914727,"Mission Carb Balance Soft Taco Flour Tortillas, Low Carb, Keto, High Fiber, No Sugar, 8 Count",bread,26115144,"Flounder, coated, fried, made with cooking spray, fried, NS as to coating, dab, fluke, sole, turbot",0.259995414117278
